,d34S_corrected,replicate,time_h,ID,f_R,thiosulfate_uM,minus_ln_f_R,d34S_thiosulfate
0,-8.908876806113273,a,0,0_a,1.0,955.1560472,0.0,-8.948798128717721
1,-8.794272534049878,a,70,70_a,0.8067666034874055,770.588,0.21472086755232547,-8.833170368775527
2,-9.195134800138712,a,166,166_a,0.6806489912363715,650.126,0.38470853708400327,-9.237671003674194
3,-10.61833876061872,a,178,178_a,0.5554568822081787,530.548,0.587964292702281,-10.675115594408553
4,-8.704847198007595,a,190,190_a,0.30093721423072617,287.442,1.2008536265868994,-8.74295569397463
5,-8.296585096821703,a,286,286_a,0.1618688385559959,154.61,1.820968910227291,-8.331193311890173
6,-8.293728172469766,b,0,0_b,1.0,956.9934793,0.0,-8.328312490674975
7,-8.676224971882815,b,70,70_b,0.8241393667351815,788.696,0.19341562898691708,-8.71408254470224
8,-8.344779364636965,b,166,166_b,0.7192650889361185,688.332,0.3295252980619882,-8.379791953569129
9,-8.447486663100058,b,178,178_b,0.5784971496409235,553.618,0.547321659515387,-8.48336889792601
10,-8.638046089648295,b,190,190_b,0.3347253737134215,320.33,1.0944448633203523,-8.675570256363207
11,-7.659116037315428,b,286,286_b,0.17463023898787813,167.12,1.7450844604928204,-7.688597698670714
12,-8.45878220470846,c,0,0_c,1.0,952.3437041,0.0,-8.494760736275541
13,-8.803980612351168,c,70,70_c,0.8116124427267056,772.934,0.2087323400406718,-8.842964628003605
14,-8.409546743248997,c,166,166_c,0.678053519144381,645.74,0.3885290573659637,-8.445106482664228
15,-8.940001418031297,c,178,178_c,0.5676816024220095,540.628,0.5661945765491664,-8.980203011603423
16,-8.030595380904495,c,190,190_c,0.3499576870883626,333.28,1.0499430258402,-8.06301429073938
17,-7.896242824149754,c,286,286_c,0.2018094929095253,192.192,1.6004311309919967,-7.92758323955934
