absorbance,type,hyp_conc,treatment,well,replicate,time_h,stdcurve_group
1.232,sample,,medium,3,3,83,b
1.803,sample,,control_lower,1,1,83,b
1.804,sample,,control_lower,2,1,83,b
1.611,sample,,control_lower,3,1,83,b
0.591,sample,,lower,1,1,83,b
0.726,sample,,lower,2,1,83,b
0.61,sample,,lower,3,1,83,b
0.621,sample,,lower,1,2,83,b
0.588,sample,,lower,2,2,83,b
0.631,sample,,lower,3,2,83,b
0.715,sample,,lower,1,3,83,b
0.626,sample,,lower,2,3,83,b
0.683,sample,,lower,3,3,83,b
0.472,sample,,high,1,1,91,b
0.469,sample,,high,2,1,91,b
0.476,sample,,high,3,1,91,b
0.523,sample,,medium,1,1,91,b
0.573,sample,,medium,2,1,91,b
0.606,sample,,medium,3,1,91,b
0.148,sample,,lower,1,1,91,b
0.144,sample,,lower,2,1,91,b
0.176,sample,,lower,3,2,91,b
0.293,sample,,lower,1,2,91,b
0.314,sample,,lower,2,2,91,b
0.307,sample,,lower,3,2,91,b
0.377,sample,,lower,1,2,91,b
0.358,sample,,lower,2,2,91,b
0.403,sample,,lower,3,2,91,b
0.519,sample,,high,1,2,91,b
0.529,sample,,high,2,2,91,b
0.545,sample,,high,3,2,91,b
0.427,sample,,high,1,3,91,b
0.59,sample,,high,2,3,91,b
0.517,sample,,high,3,3,91,b
0.477,sample,,medium,1,3,91,b
0.432,sample,,medium,2,3,91,b
0.476,sample,,medium,3,3,91,b
0.563,sample,,medium,1,3,91,b
0.573,sample,,medium,2,3,91,b
0.555,sample,,medium,3,3,91,b
