absorbance,type,hyp_conc,treatment,well,replicate,time_h,stdcurve_group
0.121,sample,,high,1,1,91,b
0.12,sample,,high,2,1,91,b
0.115,sample,,high,3,1,91,b
0.272,sample,,medium,1,1,91,b
0.269,sample,,medium,2,1,91,b
0.276,sample,,medium,3,1,91,b
0.523,sample,,lower,1,1,91,b
0.573,sample,,lower,2,1,91,b
0.606,sample,,lower,3,1,91,b
0.477,sample,,lower,1,2,91,b
0.432,sample,,lower,2,2,91,b
0.476,sample,,lower,3,2,91,b
0.563,sample,,lower,1,3,91,b
0.573,sample,,lower,2,3,91,b
0.555,sample,,lower,3,3,91,b
0.099,sample,,high,1,2,91,b
0.115,sample,,high,2,2,91,b
0.108,sample,,high,3,2,91,b
0.101,sample,,high,1,3,91,b
0.105,sample,,high,2,3,91,b
0.104,sample,,high,3,3,91,b
0.293,sample,,medium,1,2,91,b
0.314,sample,,medium,2,2,91,b
0.307,sample,,medium,3,2,91,b
0.277,sample,,medium,1,3,91,b
0.358,sample,,medium,2,3,91,b
0.303,sample,,medium,3,3,91,b
1.085,sample,,high,1,1,54.5,b
1.072,sample,,high,2,1,54.5,b
0.888,sample,,high,3,1,54.5,b
0.948,sample,,high,1,2,54.5,b
1.004,sample,,high,2,2,54.5,b
0.971,sample,,high,3,2,54.5,b
0.931,sample,,high,1,3,54.5,b
0.941,sample,,high,2,3,54.5,b
0.989,sample,,high,3,3,54.5,b
1.286,sample,,medium,1,1,54.5,b
1.261,sample,,medium,2,1,54.5,b
1.213,sample,,medium,3,1,54.5,b
1.197,sample,,medium,1,2,54.5,b
1.215,sample,,medium,2,2,54.5,b
1.173,sample,,medium,3,2,54.5,b
1.253,sample,,medium,1,3,54.5,b
1.197,sample,,medium,2,3,54.5,b
1.17,sample,,medium,3,3,54.5,b
1.737,sample,,lower,1,1,54.5,b
1.744,sample,,lower,2,1,54.5,b
1.734,sample,,lower,3,1,54.5,b
1.52,sample,,lower,1,2,54.5,b
1.672,sample,,lower,2,2,54.5,b
1.613,sample,,lower,3,2,54.5,b
1.379,sample,,lower,1,3,54.5,b
1.506,sample,,lower,2,3,54.5,b
1.566,sample,,lower,3,3,54.5,b
