absorbance,type,hyp_conc,treatment,well,replicate,time_h,stdcurve_group
0.057,standard,0.12,,,,,
0.065,standard,0.12,,,,,
0.044,standard,0.12,,,,,
0.047,standard,0.08,,,,,
0.046,standard,0.08,,,,,
0.047,standard,0.08,,,,,
0.033,standard,0,,,,,
0.034,standard,0,,,,,
0.035,standard,0,,,,,
0.76,sample,,c,1,1,10,c
0.717,sample,,c,2,1,10,c
0.738,sample,,c,3,1,10,c
0.748,sample,,c,1,2,10,c
0.69,sample,,c,2,2,10,c
0.727,sample,,c,3,2,10,c
0.755,sample,,c,1,3,10,c
0.803,sample,,c,2,3,10,c
0.781,sample,,c,3,3,10,c
0.528,sample,,c,1,1,22,c
0.572,sample,,c,2,1,22,c
0.582,sample,,c,3,1,22,c
0.525,sample,,c,1,2,22,c
0.594,sample,,c,2,2,22,c
0.627,sample,,c,3,2,22,c
0.59,sample,,c,1,3,22,c
0.537,sample,,c,2,3,22,c
0.532,sample,,c,3,3,22,c
0.399,sample,,c,1,1,34,c
0.406,sample,,c,2,1,34,c
0.41,sample,,c,3,1,34,c
0.47,sample,,c,1,2,34,c
0.458,sample,,c,2,2,34,c
0.511,sample,,c,3,2,34,c
0.518,sample,,c,1,3,34,c
0.504,sample,,c,2,3,34,c
0.508,sample,,c,3,3,34,c
0.396,sample,,c,1,1,103.5,c
0.402,sample,,c,2,1,103.5,c
0.417,sample,,c,3,1,103.5,c
0.455,sample,,c,1,2,103.5,c
0.436,sample,,c,2,2,103.5,c
0.372,sample,,c,3,2,103.5,c
0.415,sample,,c,1,3,103.5,c
0.415,sample,,c,2,3,103.5,c
0.426,sample,,c,3,3,103.5,c
0.705,sample,,control,1,1,22,c
0.731,sample,,control,2,1,22,c
0.718,sample,,control,3,1,22,c
0.636,sample,,control,1,1,27,c
0.64,sample,,control,2,1,27,c
0.646,sample,,control,3,1,27,c
0.636,sample,,control,1,1,34,c
0.642,sample,,control,2,1,34,c
0.659,sample,,control,3,1,34,c
0.523,sample,,control,1,1,46,c
0.456,sample,,control,2,1,46,c
0.384,sample,,control,3,1,46,c
0.483,sample,,control,1,1,103.5,c
0.461,sample,,control,2,1,103.5,c
0.431,sample,,control,3,1,103.5,c
