A1	1.108	
A2	1.046	
A3	1.082	
A4	0.775	
A5	0.73	
A6	0.712	
A7	0.692	
A8	0.342	
A9	0.606	
A10	0.323	
A11	0.285	
A12	0.307	
B1	0.199	
B2	0.156	
B3	0.172	
B4	0.122	
B5	0.113	
B6	0.107	
B7	0.066	
B8	0.061	
B9	0.058	
B10	0.055	
B11	0.057	
B12	0.052	
C1	0.047	
C2	0.049	
C3	0.045	
C4	0.032	
C5	0.034	
C6	0.035	
C7	0.781	
C8	0.755	
C9	0.81	
C10	0.728	
C11	0.762	
C12	0.794	
D1	0.714	
D2	0.722	
D3	0.759	
D4	0.627	
D5	0.701	
D6	0.733	
D7	0.696	
D8	0.729	
D9	0.705	
D10	0.688	
D11	0.674	
D12	0.711	
E1	0.664	
E2	0.661	
E3	0.669	
E4	0.643	
E5	0.632	
E6	0.638	
E7	0.619	
E8	0.639	
E9	0.625	
E10	0.035	
E11	0.031	
E12	0.027	
F1	0.039	
F2	0.032	
F3	0.031	
F4	0.031	
F5	0.033	
F6	0.032	
F7	0.034	
F8	0.033	
F9	0.03	
F10	0.031	
F11	0.03	
F12	0.028	
G1	0.029	
G2	0.03	
G3	0.029	
G4	0.046	
G5	0.047	
G6	0.047	
G7	0.036	
G8	0.037	
G9	0.035	
G10	0.058	
G11	0.058	
G12	0.056	
H1	0.029	
H2	0.031	
H3	0.029	
H4	0.032	
H5	0.033	
H6	0.033	
H7	0.033	
H8	0.03	
H9	0.031	
H10	0.04	
H11	0.038	
H12	0.036	
Date of measurement: 1/14/21/Time of measurement: 3:36:11 PM
670nm
