absorbance,type,hyp_conc,treatment,well,replicate,time_h,stdcurve_group
0.402,sample,,c,2,1,103.5,c
0.417,sample,,c,3,1,103.5,c
0.455,sample,,c,1,2,103.5,c
0.436,sample,,c,2,2,103.5,c
0.372,sample,,c,3,2,103.5,c
0.415,sample,,c,1,3,103.5,c
0.415,sample,,c,2,3,103.5,c
0.426,sample,,c,3,3,103.5,c
0.806,standard,2.5,,1,1,,b
0.841,standard,2.5,,2,1,,b
0.831,standard,2.5,,3,1,,b
0.394,standard,1,,1,1,,b
0.42,standard,1,,2,1,,b
0.451,standard,1,,3,1,,b
0.287,standard,0.5,,1,1,,b
0.289,standard,0.5,,2,1,,b
0.228,standard,0.5,,3,1,,b
0.106,standard,0.25,,1,1,,b
0.117,standard,0.25,,2,1,,b
0.115,standard,0.25,,3,1,,b
0.097,standard,0.1,,1,1,,b
0.068,standard,0.1,,2,1,,b
0.061,standard,0.1,,3,1,,b
0.032,standard,0,,1,1,,b
0.033,standard,0,,2,1,,b
0.031,standard,0,,3,1,,b
1.154,sample,,c,1,1,0,c
1.153,sample,,c,2,1,0,c
1.076,sample,,c,3,1,0,c
1.175,sample,,d,1,1,0,d
1.006,sample,,d,2,1,0,d
1.066,sample,,d,3,1,0,d
