Identifier,Time_h,Replicate,Peak_Nr,Area_All,Ampl_64,Area_64,Area_66,Ampl_66,d34S,Type,Measurement,Date
AGS_2,,,2,31.16,1539,29.735,1.425,7379,0.021,standard,,20220217
AGS_2,,,3,30.101,1128,28.722,1.378,5409,1.054,standard,,20220217
AGS_2,,,4,30.982,1538,29.565,1.417,7373,-0.08,standard,,20220217
AGS_2,,,5,31.25,1542,29.82,1.43,7393,0.022,standard,,20220217
SID9,,,1,31.135,1541,29.711,1.424,7389,0,standard,,20220217
SID9,,,2,31.739,1565,30.287,1.452,7504,-0.039,standard,,20220217
SID9,,,3,90.944,3282,86.817,4.127,15584,-9.305,standard,,20220217
SID9,,,4,31.127,1542,29.703,1.424,7391,-0.135,standard,,20220217
SID9,,,5,31.328,1545,29.895,1.433,7407,-0.089,standard,,20220217
SID9,,,1,31.184,1543,29.76,1.425,7388,0,standard,,20220217
SID9,,,2,31.28,1544,29.851,1.429,7390,0.028,standard,,20220217
SID9,,,3,55.377,2089,52.867,2.51,9912,-8.934,standard,,20220217
SID9,,,4,33.595,1664,32.06,1.535,7967,0.076,standard,,20220217
SID9,,,5,31.767,1561,30.315,1.452,7474,0.121,standard,,20220217
SW,,,1,30.848,1528,29.439,1.41,7314,0,standard,,20220217
SW,,,2,31.064,1529,29.644,1.419,7323,0.032,standard,,20220217
SW,,,3,38.885,1383,37.084,1.802,6713,15.985,standard,,20220217
SW,,,4,30.882,1534,29.47,1.411,7343,0.157,standard,,20220217
SW,,,5,31.093,1535,29.672,1.421,7349,0.189,standard,,20220217
SW,,,1,30.931,1531,29.516,1.415,7340,0,standard,,20220217
SW,,,2,31.046,1534,29.626,1.42,7356,0.036,standard,,20220217
SW,,,3,40.954,1525,39.052,1.901,7419,17.06,standard,,20220217
SW,,,4,30.924,1532,29.509,1.415,7345,-0.016,standard,,20220217
SW,,,5,31.134,1538,29.71,1.424,7371,0.016,standard,,20220217
high,295,4,1,30.964,1533,29.549,1.415,7342,0,sample,sulfate,20220217
high,295,4,2,31.121,1538,29.698,1.422,7363,0.001,sample,sulfate,20220217
high,295,4,3,97.542,3415,93.073,4.468,16384,-3.792,sample,sulfate,20220217
high,295,4,4,30.995,1534,29.579,1.416,7348,0.053,sample,sulfate,20220217
high,295,4,5,31.103,1533,29.681,1.422,7343,0.129,sample,sulfate,20220217
medium,54.5,4,1,30.879,1528,29.468,1.412,7319,0,sample,sulfate,20220217
medium,54.5,4,2,30.98,1528,29.564,1.416,7321,0.008,sample,sulfate,20220217
medium,54.5,4,3,103.003,3666,98.298,4.705,17534,-0.885,sample,sulfate,20220217
medium,54.5,4,4,30.975,1532,29.559,1.416,7337,-0.072,sample,sulfate,20220217
medium,54.5,4,5,31.156,1536,29.732,1.424,7356,-0.013,sample,sulfate,20220217
medium,54.5,5,1,30.976,1532,29.559,1.417,7346,0,sample,sulfate,20220217
medium,54.5,5,2,31.101,1535,29.678,1.423,7359,-0.043,sample,sulfate,20220217
medium,54.5,5,3,130.96,4831,124.975,5.984,23114,-1.54,sample,sulfate,20220217
medium,54.5,5,4,31.173,1545,29.747,1.426,7409,-0.171,sample,sulfate,20220217
medium,54.5,5,5,31.358,1545,29.923,1.435,7407,-0.1,sample,sulfate,20220217
medium,54.5,6,1,31.265,1548,29.836,1.429,7412,0,sample,sulfate,20220217
medium,54.5,6,2,31.378,1549,29.944,1.434,7417,-0.148,sample,sulfate,20220217
medium,54.5,6,3,160.848,5589,153.51,7.338,26706,-1.94,sample,sulfate,20220217
medium,54.5,6,4,31.631,1565,30.186,1.445,7490,-0.536,sample,sulfate,20220217
medium,54.5,6,5,31.842,1570,30.387,1.455,7515,-0.513,sample,sulfate,20220217
medium,101.5,4,1,33.316,1649,31.792,1.524,7906,0,sample,sulfate,20220217
medium,101.5,4,2,33.44,1651,31.91,1.53,7914,-0.018,sample,sulfate,20220217
medium,101.5,4,3,80.332,2916,76.666,3.667,13932,-2.665,sample,sulfate,20220217
medium,101.5,4,4,33.243,1645,31.722,1.521,7885,-0.201,sample,sulfate,20220217
medium,101.5,4,5,33.461,1648,31.93,1.531,7897,-0.13,sample,sulfate,20220217
AGS_2,,,1,32.704,1620,31.208,1.496,7764,0,standard,,20220217
AGS_2,,,2,32.811,1619,31.311,1.501,7759,-0.027,standard,,20220217
AGS_2,,,3,47.491,1812,45.317,2.174,8682,0.904,standard,,20220217
AGS_2,,,4,32.61,1616,31.118,1.491,7747,-0.038,standard,,20220217
AGS_2,,,5,32.817,1619,31.316,1.501,7759,0.012,standard,,20220217
SID9,,,1,32.565,1613,31.076,1.489,7730,0,standard,,20220217
SID9,,,2,32.699,1615,31.204,1.496,7739,-0.042,standard,,20220217
SID9,,,3,81.951,2991,78.235,3.716,14196,-9.705,standard,,20220217
SID9,,,4,31.11,1540,29.687,1.423,7379,-0.09,standard,,20220217
SID9,,,5,31.312,1545,29.88,1.432,7405,-0.01,standard,,20220217
SID9,,,1,31.213,1547,29.785,1.428,7415,0,standard,,20220217
SID9,,,2,31.322,1547,29.89,1.433,7416,0.066,standard,,20220217
SID9,,,3,29.748,1082,28.398,1.35,5139,-8.94,standard,,20220217
SID9,,,4,31.185,1547,29.758,1.426,7416,-0.022,standard,,20220217
SID9,,,5,31.445,1552,30.006,1.438,7440,0.038,standard,,20220217
SW,,,1,31.311,1551,29.879,1.432,7434,0,standard,,20220217
SW,,,2,31.459,1555,30.02,1.439,7452,0.045,standard,,20220217
SW,,,3,36.488,1383,34.794,1.694,6728,17.251,standard,,20220217
SW,,,4,31.303,1558,29.872,1.432,7468,0.007,standard,,20220217
SW,,,5,31.551,1559,30.108,1.443,7470,0.047,standard,,20220217
SW,,,1,31.329,1550,29.896,1.433,7430,0,standard,,20220217
SW,,,2,31.489,1554,30.049,1.44,7449,-0.026,standard,,20220217
SW,,,3,37.325,1379,35.591,1.734,6715,17.933,standard,,20220217
SW,,,4,31.266,1551,29.836,1.43,7436,-0.033,standard,,20220217
SW,,,5,31.532,1557,30.09,1.442,7466,0.02,standard,,20220217
medium,151,4,1,31.42,1555,29.983,1.437,7453,0,sample,sulfate,20220217
medium,151,4,2,31.528,1557,30.085,1.442,7462,-0.031,sample,sulfate,20220217
medium,151,4,3,29.05,329,8.636,0.414,1574,-2.189,sample,sulfate,20220217
medium,151,4,4,31.156,1551,29.731,1.425,7432,-0.078,sample,sulfate,20220217
medium,151,4,5,31.506,1556,30.065,1.441,7459,-0.017,sample,sulfate,20220217
medium,151,5,1,31.411,1555,29.974,1.437,7453,0,sample,sulfate,20220217
medium,151,5,2,31.534,1557,30.092,1.442,7463,0.022,sample,sulfate,20220217
medium,151,5,3,69.791,2432,66.605,3.186,11623,-2.155,sample,sulfate,20220217
medium,151,5,4,31.391,1556,29.955,1.436,7457,-0.117,sample,sulfate,20220217
medium,151,5,5,31.612,1560,30.166,1.446,7478,-0.016,sample,sulfate,20220217
medium,151,6,1,31.446,1557,30.01,1.436,7454,0,sample,sulfate,20220217
medium,151,6,2,31.575,1560,30.133,1.442,7464,0.025,sample,sulfate,20220217
medium,151,6,3,36.405,1325,34.746,1.659,6321,-2.449,sample,sulfate,20220217
medium,151,6,4,31.323,1555,29.893,1.431,7442,-0.032,sample,sulfate,20220217
medium,151,6,5,31.612,1560,30.168,1.444,7466,0.008,sample,sulfate,20220217
medium,295,4,1,31.453,1559,30.014,1.439,7474,0,sample,sulfate,20220217
medium,295,4,2,31.585,1560,30.139,1.445,7481,0.031,sample,sulfate,20220217
medium,295,4,3,55.505,2163,52.972,2.533,10330,-3.315,sample,sulfate,20220217
medium,295,4,4,31.369,1558,29.934,1.435,7473,-0.129,sample,sulfate,20220217
medium,295,4,5,31.569,1558,30.125,1.445,7472,-0.015,sample,sulfate,20220217
medium,295,5,1,31.457,1557,30.018,1.439,7465,0,sample,sulfate,20220217
medium,295,5,2,31.55,1560,30.107,1.443,7476,0.007,sample,sulfate,20220217
medium,295,5,3,62.646,2231,59.788,2.858,10655,-2.91,sample,sulfate,20220217
medium,295,5,4,31.367,1556,29.932,1.435,7458,-0.136,sample,sulfate,20220217
medium,295,5,5,31.589,1561,30.144,1.445,7483,-0.062,sample,sulfate,20220217
medium,295,6,1,31.4,1554,29.964,1.436,7449,0,sample,sulfate,20220217
medium,295,6,2,31.532,1556,30.089,1.442,7459,-0.053,sample,sulfate,20220217
medium,295,6,3,88.427,3169,84.392,4.035,15135,-2.76,sample,sulfate,20220217
medium,295,6,4,31.426,1558,29.989,1.437,7465,-0.134,sample,sulfate,20220217
medium,295,6,5,31.639,1559,30.192,1.447,7473,-0.126,sample,sulfate,20220217
lower,54.5,4,1,31.396,1553,29.959,1.437,7448,0,sample,sulfate,20220217
lower,54.5,4,2,31.512,1555,30.07,1.442,7458,0.024,sample,sulfate,20220217
lower,54.5,4,3,48.664,1719,46.443,2.221,8212,-2.878,sample,sulfate,20220217
lower,54.5,4,4,31.599,1563,30.153,1.446,7493,-0.128,sample,sulfate,20220217
lower,54.5,4,5,31.291,1545,29.859,1.432,7408,-0.061,sample,sulfate,20220217
lower,54.5,5,1,31.209,1545,29.782,1.427,7403,0,sample,sulfate,20220217
lower,54.5,5,2,31.363,1548,29.929,1.434,7420,-0.037,sample,sulfate,20220217
lower,54.5,5,3,110.409,3998,105.371,5.038,19102,-2.581,sample,sulfate,20220217
lower,54.5,5,4,31.233,1549,29.805,1.428,7420,-0.194,sample,sulfate,20220217
lower,54.5,5,5,31.375,1549,29.94,1.435,7424,-0.118,sample,sulfate,20220217
lower,54.5,6,1,31.226,1548,29.797,1.429,7424,0,sample,sulfate,20220217
lower,54.5,6,2,31.398,1548,29.961,1.437,7426,0.017,sample,sulfate,20220217
lower,54.5,6,3,56.051,2023,53.491,2.56,9669,-2.321,sample,sulfate,20220217
lower,54.5,6,4,31.307,1550,29.875,1.433,7433,-0.146,sample,sulfate,20220217
lower,54.5,6,5,31.486,1555,30.045,1.441,7457,-0.063,sample,sulfate,20220217
lower,83,4,1,31.417,1554,29.979,1.438,7450,0,sample,sulfate,20220217
lower,83,4,2,31.49,1556,30.049,1.441,7462,-0.045,sample,sulfate,20220217
lower,83,4,3,12.314,445,11.752,0.562,2126,-2.486,sample,sulfate,20220217
lower,83,4,4,31.266,1551,29.835,1.431,7438,-0.135,sample,sulfate,20220217
lower,83,4,5,31.562,1557,30.118,1.444,7467,-0.041,sample,sulfate,20220217
lower,83,5,1,31.404,1555,29.968,1.436,7450,0,sample,sulfate,20220217
lower,83,5,2,31.506,1557,30.065,1.441,7460,-0.067,sample,sulfate,20220217
lower,83,5,3,15.324,552,14.624,0.7,2638,-2.59,sample,sulfate,20220217
lower,83,5,4,31.305,1559,29.874,1.431,7470,-0.149,sample,sulfate,20220217
lower,83,5,5,31.658,1564,30.211,1.448,7494,-0.075,sample,sulfate,20220217
lower,83,6,1,31.625,1565,30.178,1.447,7506,0,sample,sulfate,20220217
lower,83,6,2,31.736,1567,30.284,1.452,7512,-0.024,sample,sulfate,20220217
lower,83,6,3,7.088,253,6.764,0.324,1210,-2.007,sample,sulfate,20220217
lower,83,6,4,33.344,1660,31.818,1.526,7962,-0.074,sample,sulfate,20220217
lower,83,6,5,33.689,1663,32.147,1.542,7976,-0.033,sample,sulfate,20220217
AGS_2,,,1,33.014,1635,31.503,1.511,7839,0,standard,,20220217
AGS_2,,,2,33.179,1639,31.661,1.518,7859,-0.004,standard,,20220217
AGS_2,,,3,20.478,764,19.541,0.938,3663,0.793,standard,,20220217
AGS_2,,,4,32.701,1630,31.205,1.496,7813,-0.067,standard,,20220217
AGS_2,,,5,33.038,1631,31.527,1.512,7822,-0.013,standard,,20220217
SID9,,,1,32.807,1627,31.306,1.501,7801,0,standard,,20220217
SID9,,,2,32.951,1626,31.443,1.508,7798,0.025,standard,,20220217
SID9,,,3,74.294,2601,70.924,3.37,12345,-9.886,standard,,20220217
SID9,,,4,31.013,1538,29.595,1.419,7375,-0.171,standard,,20220217
SID9,,,5,31.283,1546,29.852,1.431,7411,-0.08,standard,,20220217
SID9,,,1,31.309,1551,29.878,1.431,7429,0,standard,,20220217
SID9,,,2,31.506,1555,30.065,1.44,7450,-0.054,standard,,20220217
SID9,,,3,59.513,2208,56.815,2.698,10472,-9.466,standard,,20220217
SID9,,,4,31.556,1567,30.113,1.442,7504,-0.166,standard,,20220217
SID9,,,5,34.102,1684,32.543,1.559,8066,-0.033,standard,,20220217
SW,,,1,33.815,1675,32.267,1.547,8029,0,standard,,20220217
SW,,,2,33.888,1673,32.337,1.551,8019,-0.004,standard,,20220217
SW,,,3,39.423,1423,37.593,1.83,6921,16.26,standard,,20220217
SW,,,4,33.521,1660,31.988,1.534,7958,-0.117,standard,,20220217
SW,,,5,33.716,1664,32.173,1.543,7979,-0.087,standard,,20220217
SW,,,1,33.392,1653,31.866,1.526,7916,0,standard,,20220217
SW,,,2,33.521,1654,31.989,1.532,7919,-0.018,standard,,20220217
SW,,,3,39.362,1428,37.536,1.826,6942,17.076,standard,,20220217
SW,,,4,33.016,1637,31.507,1.509,7837,-0.006,standard,,20220217
SW,,,5,33.323,1643,31.8,1.523,7868,0.034,standard,,20220217
lower,101.5,4,1,33.173,1642,31.655,1.518,7873,0,sample,sulfate,20220217
lower,101.5,4,2,33.237,1640,31.716,1.521,7865,0.001,sample,sulfate,20220217
lower,101.5,4,3,65.729,2324,62.731,2.999,11096,-3.25,sample,sulfate,20220217
lower,101.5,4,4,33.217,1646,31.697,1.52,7893,-0.111,sample,sulfate,20220217
lower,101.5,4,5,33.454,1649,31.924,1.531,7907,-0.021,sample,sulfate,20220217
lower,101.5,5,1,33.156,1640,31.639,1.517,7864,0,sample,sulfate,20220217
lower,101.5,5,2,33.291,1643,31.768,1.523,7877,0.008,sample,sulfate,20220217
lower,101.5,5,3,50.036,1885,47.752,2.284,9008,-2.577,sample,sulfate,20220217
lower,101.5,5,4,32.715,1624,31.218,1.497,7787,0.002,sample,sulfate,20220217
lower,101.5,5,5,33,1627,31.49,1.51,7803,0.065,sample,sulfate,20220217
lower,101.5,6,1,32.657,1611,31.162,1.494,7725,0,sample,sulfate,20220217
lower,101.5,6,2,31.271,1543,29.84,1.431,7400,0.029,sample,sulfate,20220217
lower,101.5,6,3,63.335,2394,60.444,2.891,11439,-2.947,sample,sulfate,20220217
lower,101.5,6,4,33.236,1651,31.715,1.521,7917,-0.076,sample,sulfate,20220217
lower,101.5,6,5,33.678,1662,32.137,1.541,7971,0.036,sample,sulfate,20220217
AGS_2,,,1,30.17,1495,28.792,1.378,7158,0,standard,,20220218
AGS_2,,,2,30.369,1500,28.982,1.387,7178,-0.088,standard,,20220218
AGS_2,,,3,35.874,1378,34.233,1.64,6595,1.167,standard,,20220218
AGS_2,,,4,30.266,1505,28.883,1.383,7204,-0.001,standard,,20220218
AGS_2,,,5,30.561,1510,29.165,1.396,7229,-0.085,standard,,20220218
AGS_2,,,1,30.481,1505,29.091,1.389,7187,0,standard,,20220218
AGS_2,,,2,30.503,1509,29.113,1.39,7207,-0.114,standard,,20220218
AGS_2,,,3,51.253,1779,48.915,2.338,8496,1.089,standard,,20220218
AGS_2,,,4,30.302,1503,28.921,1.381,7178,0.121,standard,,20220218
AGS_2,,,5,30.521,1508,29.13,1.391,7203,0.126,standard,,20220218
SID9,,,1,30.343,1501,28.96,1.383,7170,0,standard,,20220218
SID9,,,2,30.729,1534,29.329,1.401,7328,0.028,standard,,20220218
SID9,,,3,103.346,3662,98.675,4.671,17326,-9.583,standard,,20220218
SID9,,,4,30.198,1500,28.822,1.376,7163,-0.183,standard,,20220218
SID9,,,5,30.465,1505,29.077,1.388,7187,-0.131,standard,,20220218
SID9,,,1,30.372,1505,28.985,1.387,7202,0,standard,,20220218
SID9,,,2,30.475,1507,29.083,1.392,7212,-0.073,standard,,20220218
SID9,,,3,55.979,2039,53.444,2.535,9660,-9.908,standard,,20220218
SID9,,,4,30.253,1503,28.871,1.382,7193,-0.18,standard,,20220218
SID9,,,5,30.519,1507,29.125,1.394,7212,-0.165,standard,,20220218
medium,0,1,1,30.396,1505,29.005,1.391,7217,0,sample,sulfide,20220218
medium,0,1,2,30.502,1505,29.106,1.396,7220,-0.017,sample,sulfide,20220218
medium,0,1,3,35.715,1321,34.085,1.63,6310,-3.191,sample,sulfide,20220218
medium,0,1,4,30.19,1502,28.808,1.381,7201,-0.143,sample,sulfide,20220218
medium,0,1,5,30.574,1509,29.175,1.399,7237,-0.066,sample,sulfide,20220218
medium,33.5,1,1,30.457,1509,29.066,1.391,7222,0,sample,sulfide,20220218
medium,33.5,1,2,30.618,1512,29.22,1.398,7234,-0.175,sample,sulfide,20220218
medium,33.5,1,3,40.962,1531,39.101,1.862,7280,-5.429,sample,sulfide,20220218
medium,33.5,1,4,32.066,1583,30.602,1.464,7575,-0.044,sample,sulfide,20220218
medium,33.5,1,5,30.841,1521,29.432,1.408,7277,-0.095,sample,sulfide,20220218
medium,54.5,1,1,30.384,1505,28.995,1.39,7213,0,sample,sulfide,20220218
medium,54.5,1,2,30.494,1508,29.099,1.395,7228,-0.035,sample,sulfide,20220218
medium,54.5,1,3,36.468,1319,34.81,1.657,6274,-10.075,sample,sulfide,20220218
medium,54.5,1,4,30.553,1512,29.155,1.397,7246,-0.125,sample,sulfide,20220218
medium,54.5,1,5,30.837,1524,29.426,1.41,7302,-0.003,sample,sulfide,20220218
medium,71,1,1,30.614,1517,29.214,1.4,7270,0,sample,sulfide,20220218
medium,71,1,2,30.737,1520,29.332,1.406,7284,-0.029,sample,sulfide,20220218
medium,71,1,3,34.964,1363,33.379,1.585,6466,-13.994,sample,sulfide,20220218
medium,71,1,4,30.468,1518,29.075,1.393,7273,-0.167,sample,sulfide,20220218
medium,71,1,5,30.841,1524,29.431,1.41,7305,-0.05,sample,sulfide,20220218
medium,83,1,1,30.736,1525,29.33,1.406,7312,0,sample,sulfide,20220218
medium,83,1,2,30.88,1526,29.467,1.413,7317,0.012,sample,sulfide,20220218
medium,83,1,3,27.887,1009,26.626,1.261,4774,-21.477,sample,sulfide,20220218
medium,83,1,4,32.632,1628,31.139,1.493,7805,-0.174,sample,sulfide,20220218
medium,83,1,5,33.082,1633,31.568,1.514,7832,-0.045,sample,sulfide,20220218
medium,91,1,1,32.684,1619,31.19,1.495,7756,0,sample,sulfide,20220218
medium,91,1,2,32.8,1619,31.3,1.5,7757,-0.077,sample,sulfide,20220218
medium,91,1,3,25.813,939,24.644,1.168,4446,-30.756,sample,sulfide,20220218
medium,91,1,4,32.35,1611,30.871,1.479,7719,-0.215,sample,sulfide,20220218
medium,91,1,5,32.736,1616,31.239,1.497,7743,-0.104,sample,sulfide,20220218
medium,0,2,1,32.528,1610,31.047,1.481,7679,0,sample,sulfide,20220218
medium,0,2,2,32.616,1612,31.131,1.485,7686,-0.007,sample,sulfide,20220218
medium,0,2,3,31.665,1158,30.227,1.437,5499,-3.286,sample,sulfide,20220218
medium,0,2,4,30.185,1501,28.811,1.374,7157,-0.21,sample,sulfide,20220218
medium,0,2,5,30.586,1509,29.194,1.392,7195,-0.083,sample,sulfide,20220218
medium,33.5,2,1,30.623,1518,29.226,1.397,7260,0,sample,sulfide,20220218
medium,33.5,2,2,30.712,1521,29.311,1.401,7272,-0.1,sample,sulfide,20220218
medium,33.5,2,3,47.167,1685,45.024,2.142,8006,-5.286,sample,sulfide,20220218
medium,33.5,2,4,30.8,1525,29.395,1.405,7291,-0.189,sample,sulfide,20220218
medium,33.5,2,5,30.988,1531,29.574,1.414,7318,-0.096,sample,sulfide,20220218
medium,54.5,2,1,30.912,1532,29.499,1.413,7337,0,sample,sulfide,20220218
medium,54.5,2,2,31.039,1537,29.621,1.419,7360,-0.088,sample,sulfide,20220218
medium,54.5,2,3,29.59,1049,28.245,1.344,4987,-8.848,sample,sulfide,20220218
medium,54.5,2,4,30.803,1534,29.395,1.408,7345,-0.087,sample,sulfide,20220218
medium,54.5,2,5,31.127,1537,29.704,1.423,7362,-0.028,sample,sulfide,20220218
medium,71,2,1,31.008,1537,29.591,1.417,7360,0,sample,sulfide,20220218
medium,71,2,2,31.177,1538,29.752,1.425,7366,0.013,sample,sulfide,20220218
medium,71,2,3,34.192,1259,32.644,1.548,5963,-12.889,sample,sulfide,20220218
medium,71,2,4,30.887,1537,29.475,1.412,7361,-0.04,sample,sulfide,20220218
medium,71,2,5,31.248,1543,29.819,1.428,7392,0.074,sample,sulfide,20220218
medium,83,2,1,31.148,1541,29.724,1.424,7384,0,sample,sulfide,20220218
medium,83,2,2,31.24,1545,29.812,1.428,7399,-0.06,sample,sulfide,20220218
medium,83,2,3,24.228,875,23.135,1.094,4132,-18.384,sample,sulfide,20220218
medium,83,2,4,30.96,1539,29.546,1.415,7373,-0.217,sample,sulfide,20220218
medium,83,2,5,31.3,1547,29.869,1.431,7411,-0.098,sample,sulfide,20220218
medium,91,2,1,31.261,1549,29.832,1.429,7418,0,sample,sulfide,20220218
medium,91,2,2,33.338,1655,31.814,1.524,7929,0.086,sample,sulfide,20220218
medium,91,2,3,19.411,688,18.534,0.877,3250,-32.013,sample,sulfide,20220218
medium,91,2,4,32.956,1639,31.45,1.506,7849,0.033,sample,sulfide,20220218
medium,91,2,5,33.223,1641,31.705,1.519,7858,0.104,sample,sulfide,20220218
AGS_2,,,1,31.051,1536,29.632,1.419,7358,0,standard,,20220218
AGS_2,,,2,31.152,1540,29.728,1.424,7375,-0.029,standard,,20220218
AGS_2,,,3,44.416,1639,42.384,2.032,7850,1.126,standard,,20220218
AGS_2,,,4,31.095,1544,29.673,1.421,7397,-0.065,standard,,20220218
AGS_2,,,5,31.386,1550,29.951,1.435,7423,0.037,standard,,20220218
AGS_2,,,1,31.162,1547,29.736,1.426,7420,0,standard,,20220218
AGS_2,,,2,31.363,1550,29.927,1.435,7432,-0.023,standard,,20220218
AGS_2,,,3,33.621,1247,32.081,1.54,5980,0.896,standard,,20220218
AGS_2,,,4,30.86,1536,29.448,1.412,7367,-0.23,standard,,20220218
AGS_2,,,5,31.203,1541,29.775,1.428,7388,-0.138,standard,,20220218
SID9,,,1,30.958,1534,29.541,1.417,7355,0,standard,,20220218
SID9,,,2,31.065,1534,29.644,1.422,7355,-0.023,standard,,20220218
SID9,,,3,31.152,1177,29.739,1.413,5584,-9.841,standard,,20220218
SID9,,,4,33.18,1649,31.662,1.518,7907,-0.113,standard,,20220218
SID9,,,5,33.36,1647,31.833,1.526,7899,-0.039,standard,,20220218
SID9,,,1,32.773,1622,31.277,1.496,7759,0,standard,,20220218
SID9,,,2,32.784,1618,31.287,1.497,7743,0.026,standard,,20220218
SID9,,,3,77.215,2964,73.72,3.495,14038,-9.957,standard,,20220218
SID9,,,4,32.307,1604,30.832,1.475,7674,0.14,standard,,20220218
SID9,,,5,32.524,1606,31.038,1.485,7688,0.238,standard,,20220218
medium,0,3,1,32.287,1598,30.81,1.477,7661,0,sample,sulfide,20220218
medium,0,3,2,32.426,1601,30.942,1.483,7673,0.009,sample,sulfide,20220218
medium,0,3,3,30.035,1133,28.665,1.37,5408,-3.386,sample,sulfide,20220218
medium,0,3,4,31.955,1587,30.494,1.462,7609,-0.032,sample,sulfide,20220218
medium,0,3,5,32.19,1591,30.718,1.472,7625,0.048,sample,sulfide,20220218
medium,33.5,3,1,32.009,1585,30.545,1.464,7600,0,sample,sulfide,20220218
medium,33.5,3,2,32.082,1585,30.614,1.467,7596,-0.025,sample,sulfide,20220218
medium,33.5,3,3,41.966,1562,40.055,1.911,7442,-5.422,sample,sulfide,20220218
medium,33.5,3,4,31.573,1568,30.129,1.444,7515,-0.06,sample,sulfide,20220218
medium,33.5,3,5,31.783,1570,30.329,1.454,7526,-0.021,sample,sulfide,20220218
medium,54.5,3,1,31.595,1564,30.15,1.445,7498,0,sample,sulfide,20220218
medium,54.5,3,2,31.677,1565,30.228,1.449,7501,0.071,sample,sulfide,20220218
medium,54.5,3,3,34.429,1350,32.864,1.565,6420,-9.242,sample,sulfide,20220218
medium,54.5,3,4,29.953,1491,28.583,1.37,7149,-0.029,sample,sulfide,20220218
medium,54.5,3,5,30.366,1501,28.977,1.389,7196,0.051,sample,sulfide,20220218
medium,71,3,1,30.275,1499,28.894,1.381,7166,0,sample,sulfide,20220218
medium,71,3,2,30.406,1503,29.019,1.387,7182,-0.034,sample,sulfide,20220218
medium,71,3,3,42.669,1634,40.741,1.928,7729,-13.406,sample,sulfide,20220218
medium,71,3,4,30.251,1503,28.871,1.38,7184,0.113,sample,sulfide,20220218
medium,71,3,5,30.548,1509,29.154,1.394,7211,0.177,sample,sulfide,20220218
medium,83,3,1,30.428,1508,29.038,1.391,7221,0,sample,sulfide,20220218
medium,83,3,2,30.546,1510,29.15,1.396,7234,-0.023,sample,sulfide,20220218
medium,83,3,3,21.236,809,20.278,0.959,3819,-19.985,sample,sulfide,20220218
medium,83,3,4,30.236,1505,28.854,1.382,7207,0.01,sample,sulfide,20220218
medium,83,3,5,30.536,1509,29.14,1.396,7229,0.087,sample,sulfide,20220218
medium,91,3,1,30.406,1506,29.019,1.387,7197,0,sample,sulfide,20220218
medium,91,3,2,30.517,1509,29.125,1.392,7212,-0.048,sample,sulfide,20220218
medium,91,3,3,24.837,936,23.717,1.12,4414,-31.245,sample,sulfide,20220218
medium,91,3,4,30.178,1502,28.801,1.377,7179,0.07,sample,sulfide,20220218
medium,91,3,5,31.033,1530,29.617,1.416,7315,0.157,sample,sulfide,20220218
lower,151,4,1,30.39,1507,29.001,1.389,7219,0,sample,sulfate,20220218
lower,151,4,2,30.519,1508,29.124,1.395,7225,0.001,sample,sulfate,20220218
lower,151,4,3,56.264,2150,53.699,2.565,10260,-2.933,sample,sulfate,20220218
lower,151,4,4,30.332,1507,28.946,1.386,7219,0.001,sample,sulfate,20220218
lower,151,4,5,30.637,1514,29.237,1.4,7254,0.114,sample,sulfate,20220218
lower,151,5,1,30.482,1510,29.091,1.391,7221,0,sample,sulfate,20220218
lower,151,5,2,30.603,1512,29.206,1.396,7228,-0.124,sample,sulfate,20220218
lower,151,5,3,54.981,2077,52.478,2.503,9894,-2.778,sample,sulfate,20220218
lower,151,5,4,30.431,1511,29.042,1.389,7224,-0.056,sample,sulfate,20220218
lower,151,5,5,30.677,1516,29.277,1.4,7247,0.025,sample,sulfate,20220218
lower,151,6,1,30.523,1512,29.128,1.395,7244,0,sample,sulfate,20220218
lower,151,6,2,30.643,1514,29.242,1.401,7255,-0.048,sample,sulfate,20220218
lower,151,6,3,51.83,2047,49.467,2.363,9766,-3.192,sample,sulfate,20220218
lower,151,6,4,30.456,1511,29.064,1.392,7241,-0.076,sample,sulfate,20220218
lower,151,6,5,30.696,1516,29.293,1.403,7262,0.002,sample,sulfate,20220218
lower,295,4,1,30.425,1507,29.036,1.389,7206,0,sample,sulfate,20220218
lower,295,4,2,30.571,1511,29.175,1.395,7226,-0.033,sample,sulfate,20220218
lower,295,4,3,47.74,1805,45.566,2.173,8600,-2.838,sample,sulfate,20220218
lower,295,4,4,30.151,1501,28.775,1.376,7177,0.065,sample,sulfate,20220218
lower,295,4,5,30.508,1507,29.115,1.392,7209,0.164,sample,sulfate,20220218
lower,295,5,1,30.381,1505,28.994,1.387,7196,0,sample,sulfate,20220218
lower,295,5,2,30.799,1527,29.393,1.406,7303,0.059,sample,sulfate,20220218
lower,295,5,3,50.063,1886,47.782,2.28,8994,-2.287,sample,sulfate,20220218
lower,295,5,4,30.317,1506,28.933,1.384,7205,0.041,sample,sulfate,20220218
lower,295,5,5,30.561,1512,29.166,1.395,7230,0.047,sample,sulfate,20220218
lower,295,6,1,30.49,1509,29.098,1.392,7216,0,sample,sulfate,20220218
lower,295,6,2,30.588,1511,29.192,1.396,7227,0.009,sample,sulfate,20220218
