Identifier,Time_h,Replicate,Timepoint,Peak_Nr,Width,Area_All,Ampl_64,Area_64,Area_66,Ampl_66,d34S,Type,Date,Compound
aaa,18,1,2,3,117.4,12.25,401,11.691,0.559,1914,-0.774,sample,20221114,Sulfide
aaa,18,1,2,4,53.8,31.738,1581,30.289,1.449,7567,-0.203,sample,20221114,Sulfide
aaa,18,1,2,5,55.3,32.083,1590,30.618,1.465,7608,-0.013,sample,20221114,Sulfide
aaa,28,1,3,1,55.9,28.796,1434,27.479,1.318,6877,0,sample,20221221,Sulfide
aaa,28,1,3,2,57,28.917,1436,27.594,1.323,6886,0.082,sample,20221221,Sulfide
aaa,28,1,3,3,88.2,14.845,558,14.166,0.679,2672,-2.859,sample,20221221,Sulfide
aaa,28,1,3,4,54.2,28.696,1431,27.384,1.313,6860,-0.273,sample,20221221,Sulfide
aaa,28,1,3,5,55.5,28.969,1437,27.644,1.325,6888,-0.078,sample,20221221,Sulfide
aaa,70.5,1,5,1,54.7,31.554,1567,30.114,1.441,7497,0,sample,20221114,Sulfide
aaa,70.5,1,5,2,55.4,31.657,1569,30.212,1.446,7509,0.034,sample,20221114,Sulfide
aaa,70.5,1,5,3,100.9,29.541,322,9.106,0.434,1532,-3.473,sample,20221114,Sulfide
aaa,70.5,1,5,4,52.3,29.22,1458,27.886,1.334,6974,-0.212,sample,20221114,Sulfide
aaa,70.5,1,5,5,53.7,29.324,1453,27.985,1.339,6954,-0.057,sample,20221114,Sulfide
aaa,210.5,2,12,1,55.5,27.188,1357,25.946,1.242,6500,0,sample,20221221,Sulfate
aaa,210.5,2,12,2,57.2,27.388,1362,26.136,1.252,6524,0.079,sample,20221221,Sulfate
aaa,210.5,2,12,3,112.6,11.05,323,10.546,0.504,1541,-2.329,sample,20221221,Sulfate
aaa,210.5,2,12,4,54.8,27.302,1368,26.055,1.247,6549,-0.244,sample,20221221,Sulfate
aaa,210.5,2,12,5,58.5,27.773,1380,26.504,1.269,6609,0.099,sample,20221221,Sulfate
aaa,387.5,1,16,1,53.4,28.392,1413,27.096,1.296,6759,0,sample,20221114,Sulfate
aaa,387.5,1,16,2,53.1,28.484,1414,27.183,1.301,6767,0.08,sample,20221114,Sulfate
aaa,387.5,1,16,3,173,38.229,1101,36.487,1.742,5253,-1.971,sample,20221114,Sulfate
aaa,387.5,1,16,4,52.7,28.599,1425,27.293,1.306,6815,-0.265,sample,20221114,Sulfate
aaa,387.5,1,16,5,54.5,28.889,1431,27.571,1.319,6847,-0.138,sample,20221114,Sulfate
AGS-2,,,,1,55.9,34.411,1707,32.838,1.572,8173,0,standard,20221114,
AGS-2,,,,2,54,34.54,1709,32.962,1.578,8185,0.01,standard,20221114,
AGS-2,,,,3,177,42.355,1075,40.416,1.938,5151,1.899,standard,20221114,
AGS-2,,,,4,56.4,34.545,1713,32.967,1.578,8199,-0.173,standard,20221114,
AGS-2,,,,5,57.5,34.697,1717,33.112,1.585,8221,-0.072,standard,20221114,
AGS-2,,,,1,56.5,34.549,1715,32.97,1.579,8210,0,standard,20221114,
AGS-2,,,,2,55.6,34.667,1716,33.082,1.584,8218,0.03,standard,20221114,
AGS-2,,,,3,166.9,36.119,986,34.466,1.653,4725,1.942,standard,20221114,
AGS-2,,,,4,55.8,34.655,1718,33.072,1.583,8229,-0.122,standard,20221114,
AGS-2,,,,5,55.2,34.756,1719,33.167,1.588,8232,0.005,standard,20221114,
AGS-2,,,,1,54.1,30.113,1496,28.737,1.375,7162,0,standard,20221114,
AGS-2,,,,2,54.6,30.251,1499,28.869,1.382,7176,0.014,standard,20221114,
AGS-2,,,,3,124.3,19.531,571,18.639,0.892,2730,0.02,standard,20221114,
AGS-2,,,,4,54.5,30.161,1499,28.784,1.377,7174,-0.246,standard,20221114,
AGS-2,,,,5,54.2,30.38,1504,28.992,1.387,7197,-0.118,standard,20221114,
AGS-2,,,,1,53.7,30.193,1500,28.813,1.379,7179,0,standard,20221114,
AGS-2,,,,2,55.1,30.299,1501,28.915,1.384,7187,0.008,standard,20221114,
AGS-2,,,,3,150.3,32.447,1042,30.962,1.485,4991,2.122,standard,20221114,
AGS-2,,,,4,54.8,30.191,1503,28.812,1.379,7194,-0.119,standard,20221114,
AGS-2,,,,5,53.6,30.42,1506,29.03,1.39,7208,-0.024,standard,20221114,
AGS-2,,,,1,51.9,30.101,1496,28.726,1.374,7160,0,standard,20221114,
AGS-2,,,,2,53.5,30.205,1497,28.826,1.379,7165,0.07,standard,20221114,
AGS-2,,,,3,161.4,32.456,952,30.972,1.484,4554,1.142,standard,20221114,
AGS-2,,,,4,54.1,30.118,1497,28.743,1.375,7160,-0.141,standard,20221114,
AGS-2,,,,5,53.6,30.299,1499,28.916,1.383,7172,-0.076,standard,20221114,
AGS-2,,,,1,54.3,30.103,1495,28.728,1.375,7159,0,standard,20221114,
AGS-2,,,,2,53.6,30.229,1498,28.848,1.381,7171,0.012,standard,20221114,
AGS-2,,,,3,130.6,31.752,881,30.299,1.453,4219,1.734,standard,20221114,
