Identifier,Peak_Nr,Area_All,Area_64,Area_66,Ampl_64,Ampl_66,d34S,Date
blank,1,33.088,31.571,1.517,1647,7914,0,20210427
blank,2,33.141,31.622,1.519,1651,7932,-0.057,20210427
blank,3,1.731,1.65,0.081,55,267,6.968,20210427
blank,4,32.805,31.302,1.504,1646,7907,-0.291,20210427
blank,5,33.341,31.812,1.529,1656,7954,-0.089,20210427
blank,1,32.819,31.314,1.504,1637,7862,0,20210427
blank,2,32.632,31.137,1.496,1622,7790,-0.021,20210427
blank,3,1.579,1.504,0.074,46,225,4.51,20210427
blank,4,32.743,31.243,1.5,1645,7900,-0.277,20210427
blank,5,33.415,31.883,1.532,1660,7973,-0.021,20210427
blank,1,32.293,30.814,1.479,1612,7738,0,20210427
blank,2,32.605,31.112,1.493,1619,7773,-0.048,20210427
blank,3,1.809,1.724,0.085,51,249,3.46,20210427
blank,4,31.919,30.457,1.462,1610,7727,-0.121,20210427
blank,5,32.62,31.126,1.494,1624,7796,0.045,20210427
blank,1,35.499,33.872,1.627,1765,8476,0,20210427
blank,2,35.643,34.01,1.633,1770,8498,-0.017,20210427
blank,3,1.665,1.588,0.077,49,236,8.438,20210427
blank,4,35.236,33.621,1.615,1764,8469,-0.03,20210427
blank,5,35.792,34.152,1.64,1774,8518,0.008,20210427
blank,1,35.764,34.124,1.64,1777,8539,0,20210427
blank,2,35.878,34.233,1.645,1779,8546,0.003,20210427
blank,3,1.675,1.597,0.077,50,239,5.706,20210427
blank,4,35.324,33.704,1.619,1764,8476,-0.08,20210427
blank,5,35.853,34.21,1.644,1774,8522,-0.056,20210427
blank,1,36.128,34.471,1.656,1797,8634,0,20210427
blank,2,36.275,34.612,1.663,1796,8629,-0.037,20210427
blank,3,4.965,4.736,0.229,142,683,4.606,20210427
blank,4,35.662,34.027,1.635,1780,8552,-0.081,20210427
blank,5,36.215,34.555,1.66,1792,8609,-0.057,20210427
