Identifier,Time_h,Replicate,Peak_Nr,Area_All,Area_64,Area_66,Ampl_64,Ampl_66,d34S,Type,Date
c,34,1,3,123.456,117.86,5.596,3790,17966,-2.197,sample,20210331
c,34,1,4,36.614,34.947,1.667,1819,8673,0.261,sample,20210331
c,34,1,5,36.969,35.286,1.683,1826,8704,0.173,sample,20210331
c,34,2,1,36.885,35.197,1.688,1821,8727,0,sample,20210331
c,34,2,2,36.931,35.241,1.69,1821,8730,-0.051,sample,20210331
c,34,2,3,115.17,109.926,5.244,3551,16910,-3.002,sample,20210331
c,34,2,4,36.708,35.029,1.679,1819,8721,-0.227,sample,20210331
c,34,2,5,37.018,35.324,1.694,1830,8769,-0.239,sample,20210331
c,34,3,1,36.881,35.193,1.688,1820,8723,0,sample,20210331
c,34,3,2,36.863,35.176,1.687,1821,8728,-0.049,sample,20210331
c,34,3,3,112.267,107.155,5.112,3407,16223,-3.055,sample,20210331
c,34,3,4,36.736,35.056,1.681,1823,8737,-0.267,sample,20210331
c,34,3,5,36.855,35.168,1.686,1824,8740,-0.256,sample,20210331
c,103.5,1,1,36.943,35.253,1.69,1827,8759,0,sample,20210331
c,103.5,1,2,37.001,35.308,1.693,1828,8762,-0.079,sample,20210331
c,103.5,1,3,103.648,98.929,4.719,3225,15355,-3.082,sample,20210331
c,103.5,1,4,36.953,35.263,1.69,1830,8769,-0.311,sample,20210331
c,103.5,1,5,37.002,35.31,1.693,1826,8748,-0.297,sample,20210331
c,103.5,2,1,37.084,35.391,1.693,1832,8759,0,sample,20210331
c,103.5,2,2,37.071,35.379,1.692,1830,8749,-0.053,sample,20210331
c,103.5,2,3,98.453,93.98,4.473,3124,14842,-2.814,sample,20210331
c,103.5,2,4,36.787,35.107,1.679,1824,8723,0.127,sample,20210331
c,103.5,2,5,37.149,35.453,1.696,1835,8774,0.095,sample,20210331
c,103.5,3,1,37.016,35.322,1.694,1827,8758,0,sample,20210331
c,103.5,3,2,37.039,35.344,1.695,1828,8761,-0.079,sample,20210331
c,103.5,3,3,100.378,95.807,4.57,3413,16251,-2.971,sample,20210331
c,103.5,3,4,36.247,34.589,1.658,1800,8625,-0.243,sample,20210331
c,103.5,3,5,36.53,34.859,1.671,1807,8658,-0.35,sample,20210331
c,0,1,1,36.379,34.724,1.655,1805,8603,0,sample,20210331
c,0,1,2,36.552,34.889,1.663,1805,8600,-0.163,sample,20210331
c,0,1,3,84.365,80.543,3.821,2658,12589,-2.7,sample,20210331
c,0,1,4,36.139,34.494,1.645,1794,8552,0.133,sample,20210331
c,0,1,5,36.314,34.662,1.653,1797,8567,0.048,sample,20210331
AGS2,,,1,36.184,34.532,1.652,1790,8561,0,standard,20210331
AGS2,,,2,36.158,34.507,1.651,1789,8553,-0.05,standard,20210331
AGS2,,,3,48.816,46.585,2.231,1533,7324,1.17,standard,20210331
AGS2,,,4,35.991,34.348,1.643,1789,8558,0.053,standard,20210331
AGS2,,,5,36.397,34.736,1.662,1797,8596,0.013,standard,20210331
AGS2,,,1,36.509,34.847,1.662,1803,8598,0,standard,20210331
AGS2,,,2,36.449,34.789,1.659,1806,8609,-0.099,standard,20210331
AGS2,,,3,64.813,61.859,2.954,2143,10216,1.366,standard,20210331
AGS2,,,4,36.2,34.552,1.648,1797,8570,0.247,standard,20210331
AGS2,,,5,36.477,34.816,1.661,1807,8618,0.125,standard,20210331
AGS26,,,1,36.568,34.898,1.67,1806,8636,0,standard,20210331
AGS26,,,2,36.639,34.966,1.673,1804,8630,-0.021,standard,20210331
AGS26,,,3,32.238,30.737,1.502,1033,5038,22.92,standard,20210331
AGS26,,,4,36.234,34.579,1.655,1801,8613,0.058,standard,20210331
AGS26,,,5,36.509,34.842,1.667,1803,8625,-0.119,standard,20210331
AGS26,,,1,36.613,34.942,1.672,1806,8639,0,standard,20210331
AGS26,,,2,36.659,34.986,1.674,1808,8644,-0.162,standard,20210331
AGS26,,,3,60.718,57.887,2.83,1847,9014,23.947,standard,20210331
AGS26,,,4,36.247,34.592,1.655,1803,8622,0.048,standard,20210331
AGS26,,,5,36.573,34.903,1.67,1808,8646,-0.061,standard,20210331
b_march22,0,7,1,35.988,34.347,1.641,1797,8586,0,sample,20210330
b_march22,0,7,2,36.252,34.599,1.653,1802,8609,-0.016,sample,20210330
b_march22,0,7,3,41.827,39.925,1.903,1377,6547,-2.693,sample,20210330
b_march22,0,7,4,35.725,34.096,1.629,1792,8562,0.059,sample,20210330
b_march22,0,7,5,36.334,34.677,1.657,1807,8634,0.089,sample,20210330
