Identifier,Peak_Nr,Ampl_64,Ampl_66,d34S
linearity,1,7576,36415,0
linearity,1,604,2902,-0.147
linearity,2,1827,8777,0
linearity,3,3133,15052,0.08
linearity,4,3800,18258,0.084
linearity,5,5205,25008,0.206
linearity,6,7545,36254,0.344
linearity,1,602,2892,-0.05
linearity,2,1827,8775,0
linearity,3,3132,15047,0.084
linearity,4,3799,18251,0.117
linearity,5,5206,25015,0.227
linearity,6,7537,36220,0.37
linearity,1,607,2916,-0.103
linearity,2,1830,8791,0
linearity,3,3140,15087,0.085
linearity,4,3801,18263,0.112
linearity,5,5208,25026,0.282
linearity,6,7533,36207,0.412
