ID,Replicate,Timepoint,Time_h,well,Compound,Conc_uM
b,2,5,70.5,3,Sulfide,0.048598203
b,2,6,91,1,Sulfate,876.0021956
b,2,7,101.5,1,Sulfate,1080.715082
b,2,8,121.5,1,Sulfate,1254.512758
b,2,9,144.5,1,Sulfate,1533.965742
b,2,12,210.5,1,Sulfate,1875.484371
b,2,14,309,1,Sulfate,1977.145848
b,2,16,387.5,1,Sulfate,1916.126723
b,2,20,529,1,Sulfate,1983.094131
e,1,0,0,1,Sulfide,3.855750344
e,1,0,0,2,Sulfide,3.811159375
e,1,0,0,3,Sulfide,3.977110693
e,1,1,7,1,Sulfide,3.256248241
e,1,3,28,1,Sulfide,1.862526953
e,1,3,28,2,Sulfide,1.960485455
e,1,4,43.5,1,Sulfate,95.58183882
e,1,4,43.5,2,Sulfide,1.536969349
e,1,4,43.5,3,Sulfide,1.819083231
e,1,5,70.5,1,Sulfide,1.583216146
e,1,5,70.5,2,Sulfide,1.672109826
e,1,6,91,1,Sulfide,1.819083231
e,1,6,91,2,Sulfide,2.179728282
e,1,8,121.5,1,Sulfate,0.108846491
e,1,8,121.5,1,Sulfide,1.502733974
e,1,8,121.5,2,Sulfide,1.526333183
e,1,8,121.5,3,Sulfide,1.599952043
e,1,9,144.5,1,Sulfide,1.479584846
e,1,9,144.5,2,Sulfide,1.459375928
e,1,9,144.5,3,Sulfide,1.6283392
e,1,10,170.5,1,Sulfate,0
e,1,10,170.5,1,Sulfide,1.184066556
e,1,10,170.5,2,Sulfide,1.168343557
e,1,10,170.5,3,Sulfide,1.210059875
e,1,11,192.5,1,Sulfide,1.569436187
e,1,11,192.5,2,Sulfide,1.398360267
e,1,11,192.5,3,Sulfide,1.013564959
e,1,12,210.5,1,Sulfide,1.249104852
e,1,12,210.5,2,Sulfide,1.263825166
e,1,13,236.5,1,Sulfide,1.283030508
e,1,13,236.5,2,Sulfide,1.278734967
e,1,14,309,1,Sulfide,1.228393269
e,1,14,309,2,Sulfide,1.338123085
e,1,15,354.5,1,Sulfate,230.1352422
e,1,15,354.5,2,Sulfide,0.065745351
e,1,15,354.5,3,Sulfide,0.068581283
e,1,16,387.5,1,Sulfate,1465.447723
e,1,17,410.5,1,Sulfate,1669.710232
e,1,18,433.5,1,Sulfate,1775.604321
e,1,19,511.5,1,Sulfate,1788.548735
e,2,0,0,1,Sulfide,3.431722127
e,2,0,0,2,Sulfide,3.796406072
e,2,0,0,3,Sulfide,3.256248241
e,2,5,70.5,1,Sulfide,1.760972056
e,2,5,70.5,2,Sulfide,1.985943883
e,2,8,121.5,1,Sulfate,0
e,2,8,121.5,1,Sulfide,1.367849126
e,2,8,121.5,2,Sulfide,1.523688447
