,Identifier,Time_h,Replicate,Peak_Nr,Area_All,Ampl_64,Area_64,Area_66,Ampl_66,d34S,Type,Measurement,Date,Correction_of_area_blank,Correction_of_d34S_blank,Correction_of_d34S_by_amplitude,Std_group,Correction_of_d34S_by_true_value
462,medium,295.0,4.0,3,55.505,2163,52.972,2.533,10330,-3.315,sample,sulfate,20220217,52.619600000000005,-3.4935722673680525,-3.277796659306084,high,-2.6389085256783273
467,medium,295.0,5.0,3,62.646,2231,59.788000000000004,2.858,10655,-2.91,sample,sulfate,20220217,59.760600000000004,-3.047679579522294,-2.8447677463210645,high,-2.188558456173907
472,medium,295.0,6.0,3,88.427,3169,84.39200000000001,4.035,15135,-2.76,sample,sulfate,20220217,85.5416,-2.851125303711878,-2.8256578943249617,high,-2.16868421009796
477,lower,54.5,4.0,3,48.663999999999994,1719,46.443000000000005,2.221,8212,-2.878,sample,sulfate,20220217,45.7786,-3.055713636502645,-2.7559451455264385,high,-2.096182951347496
482,lower,54.5,5.0,3,110.40899999999999,3998,105.37100000000001,5.038,19102,-2.5810000000000004,sample,sulfate,20220217,107.52359999999999,-2.6486922803923982,-2.780049420410669,high,-2.1212513972270957
487,lower,54.5,6.0,3,56.051,2023,53.49100000000001,2.56,9669,-2.3209999999999997,sample,sulfate,20220217,53.165600000000005,-2.4437920625366774,-2.2015322121143637,high,-1.5195935005989383
492,lower,83.0,4.0,3,12.314,445,11.752,0.562,2126,-2.4859999999999998,sample,sulfate,20220217,9.4286,-3.22888915427529,-2.688114057819942,low,-1.984351776663543
497,lower,83.0,5.0,3,15.324000000000002,552,14.624,0.7,2638,-2.59,sample,sulfate,20220217,12.438600000000001,-3.1772434421880273,-2.6567098738223716,low,-1.953575676345924
502,lower,83.0,6.0,3,7.087999999999999,253,6.763999999999999,0.324,1210,-2.0069999999999997,sample,sulfate,20220217,4.202599999999999,-3.3448142292866327,-2.767717886165668,low,-2.0623635284423547
532,lower,101.5,4.0,3,65.729,2324,62.731,2.9989999999999997,11096,-3.25,sample,sulfate,20220217,62.8436,-3.3965360081217497,-3.211217278774178,high,-2.569665969925145
537,lower,101.5,5.0,3,50.036,1885,47.751999999999995,2.2840000000000003,9008,-2.577,sample,sulfate,20220217,47.150600000000004,-2.731122663974583,-2.4627569175113573,high,-1.7912671942118115
542,lower,101.5,6.0,3,63.335,2394,60.443999999999996,2.891,11439,-2.947,sample,sulfate,20220217,60.449600000000004,-3.0848764140705645,-2.9127998059031652,high,-2.259311798139292
567,medium,0.0,1.0,3,35.715,1321,34.085,1.63,6310,-3.1910000000000003,sample,sulfide,20220218,32.829600000000006,-3.4663189706849913,-3.0912595621415178,high,-2.4449099446271787
572,medium,33.5,1.0,3,40.961999999999996,1531,39.101,1.8619999999999999,7280,-5.428999999999999,sample,sulfide,20220218,38.0766,-5.835972704495673,-5.500639659492718,high,-4.950665245872427
577,medium,54.5,1.0,3,36.468,1319,34.81,1.6569999999999998,6274,-10.075,sample,sulfide,20220218,33.582600000000006,-10.935615475871431,-10.560177721008523,high,-10.212584829848865
