ID,Replicate,Timepoint,Time_h,Abs_669_chl,Bchl_c_ug_ml,ug_ml_protein,Calculated_cells_ml,Calculated_cells_ml_chl,Experiment,Sulfide_mM,Sulfate_mM,,,Note,Growth rates for all exp phase ,csSOR for all exp 
full,1,8,121.5,0.0946,1.1,0.99524,5.00E+06,5.60E+07,Yes,,,,,,,
full,1,8,121.5,0.0946,1.1,1.50836,6.03E+06,5.60E+07,Yes,,,,,,,
full,1,9,144.5,0.0787,0.915116279,1.6794,6.60E+06,4.68E+07,Yes,0,0.019793292,,,,,
full,1,12,210.5,0.0781,0.908139535,0.99524,5.00E+06,4.64E+07,Yes,0,0.017072491,,,,,
full,1,12,210.5,0.0781,0.908139535,0.65316,4.89E+06,4.64E+07,Yes,,,,,,,
full,1,12,210.5,0.0781,0.908139535,1.16628,5.22E+06,4.64E+07,Yes,,,,,,,
full,2,1,7,0.0177,0.205813953,0.71716,4.88E+06,1.13E+07,Yes,3.138218025,,,,,,
full,2,1,7,0.0177,0.205813953,0.55614,4.95E+06,1.13E+07,Yes,,,,,,,
full,2,5,70.5,0.1783,2.073255814,3.4545,1.95E+07,1.05E+08,Yes,0.279101535,0,,,,,
full,2,5,70.5,0.1783,2.073255814,2.81042,1.34E+07,1.05E+08,Yes,0.271929537,,,,,,
full,2,6,91,0.1795,2.087209302,3.27776,1.77E+07,1.05E+08,Yes,,0.121287646,,,,,
full,2,6,91,0.1795,2.087209302,3.11115,1.60E+07,1.05E+08,Yes,,,,,,,
full,2,7,101.5,0.1995,2.319767442,3.27776,1.77E+07,1.17E+08,Yes,,0.286046124,,,,,
full,2,7,101.5,0.1995,2.319767442,3.27776,1.77E+07,1.17E+08,Yes,,,,,,,
full,2,8,121.5,0.2213,2.573255814,2.19252,9.04E+06,1.30E+08,Yes,,0.500554322,,,,,
full,2,9,144.5,0.2267,2.636046512,2.5346,1.12E+07,1.33E+08,Yes,,0.608691516,,,,,
full,2,9,144.5,0.2267,2.636046512,3.04772,1.54E+07,1.33E+08,Yes,,,,,,,
full,2,9,144.5,0.2267,2.636046512,2.36356,1.01E+07,1.33E+08,Yes,,,,,,,
full,2,12,210.5,0.2455,2.854651163,3.3898,1.88E+07,1.44E+08,Yes,,0.738930272,,,,,
full,2,12,210.5,0.2455,2.854651163,2.70564,1.25E+07,1.44E+08,Yes,,,,,,,
full,2,14,309,0.2233,2.596511628,2.02148,8.11E+06,1.31E+08,Yes,,0.913272315,,,,,
full,2,14,309,0.2233,2.596511628,2.36356,1.01E+07,1.31E+08,Yes,,,,,,,
full,2,16,387.5,0.1898,2.206976744,2.5346,1.12E+07,1.11E+08,Yes,,0.98716817,,,,,
full,2,16,387.5,0.1898,2.206976744,2.02148,8.11E+06,1.11E+08,Yes,,,,,,,
full,2,20,529,0.133,1.546511628,2.36356,1.01E+07,7.83E+07,Yes,,0.942443385,,,,,
full,2,20,529,0.133,1.546511628,3.21876,1.71E+07,7.83E+07,Yes,,,,,,,
a,1,0,0,,0,0,6.00E+06,1.00E+06,Yes,3.74520142,,,,,,
a,1,0,0,,0,0,6.00E+06,1.00E+06,Yes,3.789050037,,,,,,
a,1,0,0,,0,0,6.00E+06,1.00E+06,Yes,3.156560682,,,,,,
a,1,1,7,,,,,,Yes,3.519537649,,,,,,
a,1,2,18,,,,,,Yes,2.71173248,,,,,,
a,1,2,18,,,,,,Yes,2.71173248,,,,,,
a,1,2,18,,,,,,Yes,2.71173248,,,,,,
a,2,0,0,,0,0,6.00E+06,1.00E+06,Yes,3.616583831,,,,,,
a,2,0,0,,0,0,6.00E+06,1.00E+06,Yes,3.863230626,,,,,,
a,2,0,0,,0,0,6.00E+06,1.00E+06,Yes,4.110022901,,,,,,
aa,1,0,0,,0,0,6.00E+06,1.00E+06,Yes,3.96174413,,,,,,
aa,1,0,0,,0,0,6.00E+06,1.00E+06,Yes,4.070502176,,,,,,
aa,1,0,0,,0,0,6.00E+06,1.00E+06,Yes,4.182069934,,,,,,
aa,1,1,7,,,,,,Yes,2.522737389,,,,,,
aa,2,0,0,,0,0,6.00E+06,1.00E+06,Yes,4.304776375,,,,,,
aa,2,0,0,,0,0,6.00E+06,1.00E+06,Yes,3.885754866,,,,,,
aa,2,0,0,,0,0,6.00E+06,1.00E+06,Yes,3.512704515,,,,,,
aaa,1,0,0,,0,0,6.00E+06,1.00E+06,Yes,3.519537649,,,,,,
aaa,1,0,0,,0,0,6.00E+06,1.00E+06,Yes,3.74520142,,,,,,
aaa,1,0,0,,0,0,6.00E+06,1.00E+06,Yes,3.709035691,,,,,,
aaa,1,1,7,,,,,,Yes,2.853733185,,,,,,
aaa,2,0,0,,0,0,6.00E+06,1.00E+06,Yes,4.117970233,,,,,,
aaa,2,0,0,,0,0,6.00E+06,1.00E+06,Yes,3.870724796,,,,,,
aaa,2,0,0,,0,0,6.00E+06,1.00E+06,Yes,3.900840687,,,,,,
b,1,0,0,,0,0,6.00E+06,1.00E+06,Yes,3.107889024,,,,,,
b,1,0,0,,0,0,6.00E+06,1.00E+06,Yes,3.339584399,,,,,,
b,1,0,0,,0,0,6.00E+06,1.00E+06,Yes,4.338058777,,,,,,
b,1,1,7,,,,,,Yes,3.181187951,,,,,,
b,1,2,18,,,,,,Yes,1.693038371,,,,,,
b,1,2,18,,,,,,Yes,1.272321485,,,,,,
b,1,2,18,,,,,,Yes,1.247017087,,,,,,
b,2,0,0,,0,0,6.00E+06,1.00E+06,Yes,4.125932001,,,,,,
b,2,0,0,,0,0,6.00E+06,1.00E+06,Yes,4.206347225,,,,,,
b,2,0,0,,0,0,6.00E+06,1.00E+06,Yes,4.255296908,,,,,,
e,1,0,0,,0,0,6.00E+06,1.00E+06,Yes,3.855750344,,,,,,
e,1,0,0,,0,0,6.00E+06,1.00E+06,Yes,3.811159375,,,,,,
e,1,0,0,,0,0,6.00E+06,1.00E+06,Yes,3.977110693,,,,,,
e,1,1,7,,,,,,Yes,3.256248241,,,,,,
e,1,2,18,,,,,,Yes,2.608402832,,,,,,
e,1,2,18,,,,,,Yes,,,,,,,
e,1,2,18,,,,,,Yes,,,,,,,
e,2,0,0,,0,0,6.00E+06,1.00E+06,Yes,3.431722127,,,,,,
e,2,0,0,,0,0,6.00E+06,1.00E+06,Yes,3.796406072,,,,,,
e,2,0,0,,0,0,6.00E+06,1.00E+06,Yes,3.256248241,,,,,,
full,1,0,0,,0,0,6.00E+06,1.00E+06,Yes,3.811159375,,,,,,
full,1,0,0,,0,0,6.00E+06,1.00E+06,Yes,3.818556676,,,,,,
full,1,0,0,,0,0,6.00E+06,1.00E+06,Yes,3.915982391,,,,,,
full,2,0,0,,0,0,6.00E+06,1.00E+06,Yes,3.969420351,,,,,,
full,2,0,0,,0,0,6.00E+06,1.00E+06,Yes,4.838713856,,,,,,
full,2,0,0,,0,0,6.00E+06,1.00E+06,Yes,4.551510498,,,,,,
aaa,2,0,0,,0,0,6.00E+06,1.00E+06,Yes,,,,,,,
aaa,2,0,0,,0,0,6.00E+06,1.00E+06,Yes,,,,,,,
aaa,2,0,0,,0,0,6.00E+06,1.00E+06,Yes,,,,,,,
