ID,Replicate,Timepoint,Time_h,Abs_669_chl,Bchl_c_ug_ml,ug_ml_protein,Calculated_cells_ml,Calculated_cells_ml_chl,Experiment,Sulfide_mM,Sulfate_mM,,,Note,Growth rates for all exp phase ,csSOR for all exp 
aa,1,4,43.5,0.0176,0.204651163,0.55614,4.95E+06,1.12E+07,Yes,,,,,,,
aa,1,5,70.5,0.211,2.453488372,7.64102,9.98E+07,1.24E+08,Yes,0.174494578,0,,,,,
aa,1,5,70.5,0.211,2.453488372,8.12408,1.14E+08,1.24E+08,Yes,0.169277747,,,,,,
aa,1,6,91,0.225,2.61627907,3.61098,2.12E+07,1.32E+08,Yes,0.054339087,0.316834161,,,,,
aa,1,6,91,0.225,2.61627907,3.44437,1.94E+07,1.32E+08,Yes,0.060054758,,,,,,
aa,1,7,101.5,0.237,2.755813953,4.77725,3.73E+07,1.39E+08,Yes,0,0.496877193,,,,,
aa,1,7,101.5,0.237,2.755813953,4.77725,3.73E+07,1.39E+08,Yes,,,,,,,
aa,1,7,101.5,0.237,2.755813953,4.94386,4.01E+07,1.39E+08,Yes,,,,,,,
aa,1,8,121.5,0.2651,3.08255814,4.41604,3.18E+07,1.55E+08,Yes,0,0.679779774,,,,,
aa,1,8,121.5,0.2651,3.08255814,4.92916,3.98E+07,1.55E+08,Yes,,,,,,,
aa,1,9,144.5,0.2973,3.456976744,1.85044,7.30E+06,1.74E+08,Yes,0,0.923218093,,,,,
aa,1,9,144.5,0.2973,3.456976744,0.99524,5.00E+06,1.74E+08,Yes,,,,,,,
aa,1,9,144.5,0.2973,3.456976744,2.5346,1.12E+07,1.74E+08,Yes,,,,,,,
aa,1,12,210.5,0.3609,4.196511628,5.9554,5.91E+07,2.11E+08,Yes,0,1.323520742,,,,,
aa,1,12,210.5,0.3609,4.196511628,5.61332,5.22E+07,2.11E+08,Yes,,,,,,,
aa,1,14,309,0.3351,3.896511628,2.5346,1.12E+07,1.96E+08,Yes,0,1.45810637,,,,,
aa,1,14,309,0.3351,3.896511628,2.70564,1.25E+07,1.96E+08,Yes,,,,,,,
aa,1,14,309,0.3351,3.896511628,2.02148,8.11E+06,1.96E+08,Yes,,,,,,,
aa,1,16,387.5,0.2887,3.356976744,1.50836,6.03E+06,1.69E+08,Yes,0,1.5,,,,,
aa,1,16,387.5,0.2887,3.356976744,1.33732,5.56E+06,1.69E+08,Yes,,,,,,,
aa,1,16,387.5,0.2887,3.356976744,1.6794,6.60E+06,1.69E+08,Yes,,,,,,,
aa,1,20,529,0.2374,2.760465116,2.87668,1.39E+07,1.39E+08,Yes,0,1.536913777,,,,,
aa,1,20,529,0.2374,2.760465116,4.58708,3.43E+07,1.39E+08,Yes,,,,,,,
aa,2,5,70.5,0.2872,3.339534884,8.12408,1.14E+08,1.68E+08,Yes,0.051471805,0.159597224,,,,,
aa,2,5,70.5,0.2872,3.339534884,7.31898,9.12E+07,1.68E+08,Yes,0.042831975,,,,,,
aa,2,6,91,0.2878,3.346511628,5.44369,4.89E+07,1.68E+08,Yes,,0.807957931,,,,,
aa,2,6,91,0.2878,3.346511628,5.6103,5.21E+07,1.68E+08,Yes,,,,,,,
aa,2,6,91,0.2878,3.346511628,5.6103,5.21E+07,1.68E+08,Yes,,,,,,,
aa,2,7,101.5,0.371,4.313953488,6.60996,7.36E+07,2.17E+08,Yes,,1.030254698,,,,,
aa,2,8,121.5,0.3999,4.65,6.63956,7.42E+07,2.34E+08,Yes,,1.409357711,,,,,
aa,2,8,121.5,0.3999,4.65,6.8106,7.83E+07,2.34E+08,Yes,,,,,,,
aa,2,8,121.5,0.3999,4.65,6.29748,6.64E+07,2.34E+08,Yes,,,,,,,
aa,2,9,144.5,0.4572,5.31627907,6.12644,6.27E+07,2.67E+08,Yes,,1.690363466,,,,,
aa,2,12,210.5,0.46,5.348837209,6.63956,7.42E+07,2.68E+08,Yes,,1.914898166,,,,,
aa,2,12,210.5,0.46,5.348837209,6.98164,8.25E+07,2.68E+08,Yes,,,,,,,
aa,2,14,309,0.5572,6.479069767,3.56084,2.07E+07,3.25E+08,Yes,,1.92228566,,,,,
aa,2,14,309,0.5572,6.479069767,4.07396,2.70E+07,3.25E+08,Yes,,,,,,,
aa,2,16,387.5,0.3954,4.597674419,2.19252,9.04E+06,2.31E+08,Yes,,1.931886178,,,,,
aa,2,16,387.5,0.3954,4.597674419,2.70564,1.25E+07,2.31E+08,Yes,,,,,,,
aa,2,20,529,0.3357,3.903488372,1.50836,6.03E+06,1.96E+08,Yes,,1.948083064,,,,,
aa,2,20,529,0.3357,3.903488372,1.85044,7.30E+06,1.96E+08,Yes,,,,,,,
aa,2,20,529,0.3357,3.903488372,2.70564,1.25E+07,1.96E+08,Yes,,,,,,,
aaa,1,2,18,0,0,0,6.00E+06,1.00E+06,Yes,2.853733185,0,,,,,
aaa,1,2,18,0,0,0,6.00E+06,1.00E+06,Yes,,,,,,,
aaa,1,3,28,0.0052,0.060465116,0,6.00E+06,4.02E+06,Yes,1.865921239,0,,,,,
aaa,1,3,28,0.0052,0.060465116,0,6.00E+06,4.02E+06,Yes,2.196172219,,,,,,
aaa,1,3,28,0.0052,0.060465116,0,6.00E+06,4.02E+06,Yes,,,,,,,
aaa,1,4,43.5,0.0134,0.155813953,0,6.00E+06,8.79E+06,Yes,1.696054762,0,,,,,
aaa,1,4,43.5,0.0134,0.155813953,0,6.00E+06,8.79E+06,Yes,1.6283392,,,,,,
aaa,1,5,70.5,0.198,2.302325581,0.71716,4.88E+06,1.16E+08,Yes,0.819127839,0,1.07E+08,,,,
aaa,1,5,70.5,0.198,2.302325581,1.0392,5.04E+06,1.16E+08,Yes,0.859094644,,,,,,
aaa,1,6,91,0.209,2.430232558,2.11149,8.58E+06,1.23E+08,Yes,0.088259575,0.075837308,,,,,
aaa,1,6,91,0.209,2.430232558,2.44471,1.06E+07,1.23E+08,Yes,0.09104621,,,,,,
aaa,1,7,101.5,0.2139,2.487209302,2.44471,1.06E+07,1.25E+08,Yes,0,0.279604361,,,,,
aaa,1,7,101.5,0.2139,2.487209302,2.94454,1.45E+07,1.25E+08,Yes,,,,,,,
aaa,1,7,101.5,0.2139,2.487209302,2.44471,1.06E+07,1.25E+08,Yes,,,,,,,
aaa,1,8,121.5,0.2275,2.645348837,2.87668,1.39E+07,1.33E+08,Yes,0,0.602878696,,,,,
aaa,1,8,121.5,0.2275,2.645348837,3.21876,1.71E+07,1.33E+08,Yes,,,,,,,
aaa,1,9,144.5,0.2785,3.238372093,3.6794,2.20E+07,1.63E+08,Yes,0,0.968596362,,,,,
aaa,1,9,144.5,0.2785,3.238372093,3.02148,1.52E+07,1.63E+08,Yes,,,,,,,
aaa,1,12,210.5,0.3505,4.075581395,3.87668,2.44E+07,2.05E+08,Yes,0,1.342606796,,,,,
aaa,1,12,210.5,0.3505,4.075581395,4.04772,2.66E+07,2.05E+08,Yes,,,,,,,
aaa,1,12,210.5,0.3505,4.075581395,3.5346,2.04E+07,2.05E+08,Yes,,,,,,,
aaa,1,14,309,0.4091,4.756976744,2.36356,1.01E+07,2.39E+08,Yes,0,1.489069796,,,,,
aaa,1,14,309,0.4091,4.756976744,2.19252,9.04E+06,2.39E+08,Yes,,,,,,,
aaa,1,16,387.5,0.3437,3.996511628,1.85044,7.30E+06,2.01E+08,Yes,0,1.641786952,,,,,
aaa,1,20,529,0.2249,2.615116279,0,6.00E+06,1.32E+08,Yes,0,1.595666476,,,,,
aaa,1,20,529,0.2249,2.615116279,1.16628,5.22E+06,1.32E+08,Yes,,,,,,,
aaa,2,5,70.5,0.2214,2.574418605,1.52226,6.07E+06,1.30E+08,Yes,0.048598203,0.05474112,,,,,
aaa,2,6,91,0.2416,2.809302326,4.11081,2.75E+07,1.41E+08,Yes,,0.625592579,,,,,
aaa,2,6,91,0.2416,2.809302326,4.44403,3.22E+07,1.41E+08,Yes,,,,,,,
aaa,2,7,101.5,0.3284,3.818604651,6.11013,6.23E+07,1.92E+08,Yes,,0.870111116,,,,,
aaa,2,7,101.5,0.3284,3.818604651,6.44335,6.97E+07,1.92E+08,Yes,,,,,,,
aaa,2,8,121.5,0.3879,4.510465116,7.65316,1.00E+08,2.27E+08,Yes,,1.321134475,,,,,
aaa,2,8,121.5,0.3879,4.510465116,7.33732,9.17E+07,2.27E+08,Yes,,,,,,,
aaa,2,8,121.5,0.3879,4.510465116,7.85044,1.06E+08,2.27E+08,Yes,,,,,,,
aaa,2,9,144.5,0.4311,5.012790698,8.8242,1.35E+08,2.52E+08,Yes,,1.424384932,,,,,
aaa,2,9,144.5,0.4311,5.012790698,8.99524,1.41E+08,2.52E+08,Yes,,,,,,,
aaa,2,12,210.5,0.6863,7.980232558,9.71828,1.66E+08,4.00E+08,Yes,,1.777596022,,,,,
aaa,2,12,210.5,0.6863,7.980232558,9.88932,1.72E+08,4.00E+08,Yes,,,,,,,
aaa,2,14,309,0.4378,5.090697674,4.245,2.93E+07,2.56E+08,Yes,,1.802799046,,,,,
aaa,2,14,309,0.4378,5.090697674,3.73188,2.27E+07,2.56E+08,Yes,,,,,,,
aaa,2,14,309,0.4378,5.090697674,3.56084,2.07E+07,2.56E+08,Yes,,,,,,,
aaa,2,16,387.5,0.3822,4.444186047,1.85044,7.30E+06,2.23E+08,Yes,,1.894469573,,,,,
aaa,2,16,387.5,0.3822,4.444186047,2.02148,8.11E+06,2.23E+08,Yes,,,,,,,
aaa,2,20,529,0.345,4.011627907,0.48212,5.02E+06,2.02E+08,Yes,,1.777190865,,,,,
aaa,2,20,529,0.345,4.011627907,0.65316,4.89E+06,2.02E+08,Yes,,,,,,,
b,1,3,28,0.0131,0.152325581,0.99524,5.00E+06,8.62E+06,Yes,1.558519791,,,,,,
b,1,3,28,0.0131,0.152325581,0.65316,4.89E+06,8.62E+06,Yes,1.444441252,,,,,,
b,1,4,43.5,0.0223,0.259302326,0.39512,5.13E+06,1.40E+07,Yes,1.160556714,0,,,,,
b,1,4,43.5,0.0223,0.259302326,0,6.00E+06,1.40E+07,Yes,1.176179818,,,,,,
b,1,4,43.5,0.0223,0.259302326,0.39512,5.13E+06,1.40E+07,Yes,,,,,,,
b,1,5,70.5,0.2613,3.038372093,12.10809,2.63E+08,1.53E+08,Yes,0.048598203,0.108913959,,,,,
b,1,5,70.5,0.2613,3.038372093,12.60792,2.86E+08,1.53E+08,Yes,0.048598203,,,,,,
b,1,5,70.5,0.2613,3.038372093,11.94148,2.55E+08,1.53E+08,Yes,,,,,,,
b,1,6,91,0.2471,2.873255814,6.11013,6.23E+07,1.45E+08,Yes,0.057200066,0.733180256,,,,,
b,1,6,91,0.2471,2.873255814,5.6103,5.21E+07,1.45E+08,Yes,0.057200066,,,,,,
b,1,7,101.5,0.2887,3.356976744,7.44301,9.45E+07,1.69E+08,Yes,0,0.997041605,,,,,
b,1,7,101.5,0.2887,3.356976744,7.94284,1.08E+08,1.69E+08,Yes,,,,,,,
b,1,8,121.5,0.4051,4.710465116,5.44228,4.89E+07,2.37E+08,Yes,0,1.504414528,,,,,
b,1,8,121.5,0.4051,4.710465116,5.78436,5.56E+07,2.37E+08,Yes,,,,,,,
b,1,9,144.5,0.4659,5.41744186,8.86308,1.37E+08,2.72E+08,Yes,0,1.956784456,,,,,
b,1,9,144.5,0.4659,5.41744186,8.86308,1.37E+08,2.72E+08,Yes,,,,,,,
b,1,12,210.5,0.6209,7.219767442,12.62596,2.87E+08,3.62E+08,Yes,0,3.098513254,,,,,
b,1,12,210.5,0.6209,7.219767442,11.9418,2.55E+08,3.62E+08,Yes,,,,,,,
b,1,12,210.5,0.6209,7.219767442,11.59972,2.40E+08,3.62E+08,Yes,,,,,,,
b,1,14,309,0.6186,7.193023256,3.56084,2.07E+07,3.61E+08,Yes,0,3.701443423,,,,,
b,1,14,309,0.6186,7.193023256,4.07396,2.70E+07,3.61E+08,Yes,,,,,,,
b,1,14,309,0.6186,7.193023256,3.90292,2.48E+07,3.61E+08,Yes,,,,,,,
b,2,5,70.5,0.1841,2.140697674,3.77759,2.32E+07,1.08E+08,Yes,0.051471805,0.324649771,,,,,
b,2,5,70.5,0.1841,2.140697674,3.44437,1.94E+07,1.08E+08,Yes,0.048598203,,,,,,
b,2,6,91,0.2731,3.175581395,6.11013,6.23E+07,1.60E+08,Yes,,0.876002196,,,,,
b,2,6,91,0.2731,3.175581395,5.94352,5.88E+07,1.60E+08,Yes,,,,,,,
b,2,7,101.5,0.3214,3.737209302,6.12644,6.27E+07,1.88E+08,Yes,,1.080715082,,,,,
b,2,7,101.5,0.3214,3.737209302,6.63956,7.42E+07,1.88E+08,Yes,,,,,,,
b,2,8,121.5,0.3496,4.065116279,5.9554,5.91E+07,2.04E+08,Yes,,1.254512758,,,,,
b,2,8,121.5,0.3496,4.065116279,5.61332,5.22E+07,2.04E+08,Yes,,,,,,,
b,2,8,121.5,0.3496,4.065116279,6.29748,6.64E+07,2.04E+08,Yes,,,,,,,
b,2,9,144.5,0.397,4.61627907,7.49476,9.59E+07,2.32E+08,Yes,,1.533965742,,,,,
b,2,9,144.5,0.397,4.61627907,8.17892,1.15E+08,2.32E+08,Yes,,,,,,,
b,2,9,144.5,0.397,4.61627907,7.6658,1.01E+08,2.32E+08,Yes,,,,,,,
b,2,12,210.5,0.4568,5.311627907,8.17892,1.15E+08,2.67E+08,Yes,,1.875484371,,,,,
b,2,12,210.5,0.4568,5.311627907,6.29748,6.64E+07,2.67E+08,Yes,,,,,,,
b,2,12,210.5,0.4568,5.311627907,7.15268,8.69E+07,2.67E+08,Yes,,,,,,,
b,2,14,309,0.4701,5.46627907,2.02148,8.11E+06,2.74E+08,Yes,,1.977145848,,,,,
b,2,16,387.5,0.3982,4.630232558,4.07396,2.70E+07,2.33E+08,Yes,,1.916126723,,,,,
b,2,16,387.5,0.3982,4.630232558,2.70564,1.25E+07,2.33E+08,Yes,,,,,,,
b,2,20,529,0.3595,4.180232558,4.75812,3.70E+07,2.10E+08,Yes,,1.983094131,,,,,
C. tep primary 48h 1,,,,0.2219,2.580232558,,6.00E+06,1.30E+08,No,,,,,,,
C. tep primary 48h 2,,,,0.1829,2.126744186,,6.00E+06,1.07E+08,No,,,,,,,
C. tep secondary 48h 1,,,,0.3485,4.052325581,1.03,5.03E+06,2.04E+08,No,,,,,,,
C. tep secondary 48h 2,,,,0.134,1.558139535,,6.00E+06,7.89E+07,No,,,,,,,
e,1,3,28,0.0049,0.056976744,0,6.00E+06,3.85E+06,Yes,1.862526953,0,,,,,
e,1,4,43.5,0.0066,0.076744186,0.39512,5.13E+06,4.84E+06,Yes,1.836969349,0.095581839,,,,,
e,1,4,43.5,0.0066,0.076744186,0.87818,4.91E+06,4.84E+06,Yes,1.819083231,,,,,,
e,1,5,70.5,0.0071,0.08255814,2.2781,9.55E+06,5.13E+06,Yes,1.583216146,0,,,,,
e,1,5,70.5,0.0071,0.08255814,2.94454,1.45E+07,5.13E+06,Yes,1.672109826,,,,,,
e,1,8,121.5,0.0218,0.253488372,3.3898,1.88E+07,1.37E+07,Yes,1.502733974,0,,,,,
e,1,8,121.5,0.0218,0.253488372,3.21876,1.71E+07,1.37E+07,Yes,1.526333183,,,,,,
e,1,10,170.5,0.0271,0.315116279,1.6794,6.60E+06,1.68E+07,Yes,1.184066556,0,,,,,
e,1,10,170.5,0.0271,0.315116279,2.36356,1.01E+07,1.68E+07,Yes,1.168343557,,,,,,
e,1,10,170.5,0.0271,0.315116279,1.50836,6.03E+06,1.68E+07,Yes,,,,,,,
e,1,15,354.5,0.1574,1.830232558,1.49476,5.98E+06,9.25E+07,Yes,0.065745351,0.230135242,,,,,
e,1,15,354.5,0.1574,1.830232558,1.15268,5.20E+06,9.25E+07,Yes,0.068581283,,,,,,
e,1,16,387.5,0.3478,4.044186047,0.65316,4.89E+06,2.03E+08,Yes,0,1.465447723,,,,,
e,1,16,387.5,0.3478,4.044186047,0.48212,5.02E+06,2.03E+08,Yes,,,,,,,
e,1,17,410.5,0.3597,4.18255814,0.31108,5.26E+06,2.10E+08,Yes,0,1.669710232,,,,,
e,1,17,410.5,0.3597,4.18255814,1.16628,5.22E+06,2.10E+08,Yes,,,,,,,
e,1,18,433.5,0.299,3.476744186,0.65316,4.89E+06,1.75E+08,Yes,0,1.775604321,,,,,
e,1,18,433.5,0.299,3.476744186,0.99524,5.00E+06,1.75E+08,Yes,,,,,,,
e,1,19,511.5,0.2921,3.396511628,2.02148,8.11E+06,1.71E+08,Yes,0,1.788548735,,,,,
e,1,19,511.5,0.2921,3.396511628,2.87668,1.39E+07,1.71E+08,Yes,,,,,,,
e,2,5,70.5,0.0041,0.047674419,0.71716,4.88E+06,3.38E+06,Yes,1.760972056,0,,,,,
e,2,5,70.5,0.0041,0.047674419,0.55614,4.95E+06,3.38E+06,Yes,1.985943883,,,,,,
e,2,8,121.5,0.0183,0.212790698,1.16628,5.22E+06,1.16E+07,Yes,1.367849126,0,,,,,
e,2,8,121.5,0.0183,0.212790698,1.6794,6.60E+06,1.16E+07,Yes,1.523688447,,,,,,
e,2,8,121.5,0.0183,0.212790698,,6.00E+06,1.16E+07,,1.742113838,,,,,,
e,2,10,170.5,0.0339,0.394186047,0.99524,5.00E+06,2.07E+07,Yes,1.032941552,0,,,,,
e,2,10,170.5,0.0339,0.394186047,1.50836,6.03E+06,2.07E+07,Yes,1.079684617,,,,,,
e,2,10,170.5,0.0339,0.394186047,1.16628,5.22E+06,2.07E+07,Yes,1.126099033,,,,,,
e,2,13,236.5,0.0569,0.661627907,1.9554,7.78E+06,3.41E+07,Yes,0.820793922,0,,,,,
e,2,13,236.5,0.0569,0.661627907,1.78436,7.01E+06,3.41E+07,Yes,0.869094496,,,,,,
e,2,13,236.5,0.0569,0.661627907,1.44228,5.83E+06,3.41E+07,Yes,,,,,,,
e,2,14,309,0.1838,2.137209302,2.19252,9.04E+06,1.08E+08,Yes,0.542391045,0.214,,,,,
e,2,14,309,0.1838,2.137209302,1.6794,6.60E+06,1.08E+08,Yes,0.548095595,,,,,,
e,2,14,309,0.1838,2.137209302,1.33732,5.56E+06,1.08E+08,Yes,,,,,,,
e,2,15,354.5,0.181,2.104651163,0.8242,4.89E+06,1.06E+08,Yes,0.057200066,0.810698116,,,,,
e,2,15,354.5,0.181,2.104651163,1.50836,6.03E+06,1.06E+08,Yes,0.062903181,,,,,,
e,2,16,387.5,0.2199,2.556976744,1.16628,5.22E+06,1.29E+08,Yes,,0.923221796,,,,,
e,2,16,387.5,0.2199,2.556976744,3.04772,1.54E+07,1.29E+08,Yes,,,,,,,
e,2,17,410.5,0.2142,2.490697674,1.50836,6.03E+06,1.26E+08,Yes,,0.997270702,,,,,
e,2,17,410.5,0.2142,2.490697674,0.14004,5.62E+06,1.26E+08,Yes,,,,,,,
e,2,18,433.5,0.2124,2.469767442,0.48212,5.02E+06,1.24E+08,Yes,,1.031389199,,,,,
e,2,19,511.5,0.2329,2.708139535,0.14004,5.62E+06,1.36E+08,Yes,,1.102715091,,,,,
e,2,19,511.5,0.2329,2.708139535,0.31108,5.26E+06,1.36E+08,Yes,,,,,,,
e,2,21,583.5,0.2043,2.375581395,0.48212,5.02E+06,1.20E+08,Yes,,1.081077931,,,,,
e,2,21,583.5,0.2043,2.375581395,1.16628,5.22E+06,1.20E+08,Yes,,,,,,,
e,2,21,583.5,0.2043,2.375581395,1.50836,6.03E+06,1.20E+08,Yes,,,,,,,
full,1,1,7,0.0269,0.312790698,0.39512,5.13E+06,1.66E+07,Yes,3.34608293,,,,,,
full,1,1,7,0.0269,0.312790698,0.07308,5.79E+06,1.66E+07,Yes,2.713927378,,,,,,
full,1,1,7,0.0269,0.312790698,0.2341,5.41E+06,1.66E+07,Yes,3.181187951,,,,,,
full,1,2,18,0.0328,0.381395349,0.71716,4.88E+06,2.01E+07,Yes,2.038063068,,,,,,
full,1,2,18,0.0328,0.381395349,0.55614,4.95E+06,2.01E+07,Yes,2.038063068,,,,,,
full,1,2,18,0.0328,0.381395349,0.71716,4.88E+06,2.01E+07,Yes,2.038063068,,,,,,
full,1,3,28,0.0424,0.493023256,0.71716,4.88E+06,2.57E+07,Yes,1.792967967,0,,,,,
full,1,3,28,0.0424,0.493023256,0.71716,4.88E+06,2.57E+07,Yes,1.648585174,,,,,,
full,1,3,28,0.0424,0.493023256,0.55614,4.95E+06,2.57E+07,Yes,,,,,,,
full,1,4,43.5,0.0522,0.606976744,2.16634,8.89E+06,3.13E+07,Yes,1.139389047,0,,,,,
full,1,4,43.5,0.0522,0.606976744,,6.00E+06,3.13E+07,Yes,1.079684617,,,,,,
full,1,5,70.5,0.0641,0.745348837,3.61552,2.13E+07,3.83E+07,Yes,0.281482422,0,,,,,
full,1,5,70.5,0.0641,0.745348837,,6.00E+06,3.83E+07,Yes,0.288595977,,,,,,
full,1,6,91,0.0836,0.972093023,1.94488,7.73E+06,4.96E+07,Yes,0.068581283,0,,,,,
full,1,6,91,0.0836,0.972093023,1.77827,6.99E+06,4.96E+07,Yes,0.062903181,,,,,,
full,1,6,91,0.0836,0.972093023,2.11149,8.58E+06,4.96E+07,Yes,0.045718266,,,,,,
full,1,7,101.5,0.0874,1.01627907,1.94488,7.73E+06,5.18E+07,Yes,0,0,,,,,
full,1,7,101.5,0.0874,1.01627907,1.44505,5.84E+06,5.18E+07,Yes,,,,,,,
full,1,7,101.5,0.0874,1.01627907,1.94488,7.73E+06,5.18E+07,Yes,,,,,,,
full,1,8,121.5,0.0946,1.1,1.16628,5.22E+06,5.60E+07,Yes,0,0.009165481,,,,,
