Identifier,Time_h,Replicate,Peak_Nr,Area_All,Area_64,Area_66,Ampl_64,Ampl_66,d34S,Type
SUP_05,286,b,2,24.01,22.913,1.097,1189,5692,0.088,sample
SUP_05,286,b,3,14.142,13.5,0.642,620,2948,-7.366,sample
SUP_05,286,b,4,23.779,22.692,1.086,1185,5674,-0.184,sample
SUP_05,286,b,5,23.959,22.864,1.095,1188,5689,-0.039,sample
SUP_05,0,c,1,23.99,22.893,1.097,1191,5705,0,sample
SUP_05,0,c,2,24.038,22.939,1.099,1190,5703,0.066,sample
SUP_05,0,c,3,20.536,19.604,0.932,897,4260,-8.363,sample
SUP_05,0,c,4,23.841,22.751,1.09,1188,5691,-0.26,sample
SUP_05,0,c,5,24.046,22.947,1.099,1191,5708,-0.088,sample
SUP_05,70,c,1,24.02,22.922,1.098,1192,5711,0,sample
SUP_05,70,c,2,24.097,22.996,1.102,1193,5718,0.084,sample
SUP_05,70,c,3,29.129,27.808,1.321,1274,6052,-8.824,sample
SUP_05,70,c,4,23.884,22.792,1.092,1189,5695,-0.221,sample
SUP_05,70,c,5,24.088,22.987,1.101,1193,5716,-0.053,sample
SUP_05,166,c,1,24.033,22.934,1.099,1194,5719,0,sample
SUP_05,166,c,2,24.09,22.989,1.101,1194,5722,0.105,sample
SUP_05,166,c,3,19.05,18.185,0.865,831,3946,-8.274,sample
SUP_05,166,c,4,23.863,22.773,1.091,1189,5696,-0.217,sample
SUP_05,166,c,5,24.058,22.958,1.1,1192,5711,-0.061,sample
SUP_05,178,c,1,24.037,22.938,1.099,1193,5715,0,sample
SUP_05,178,c,2,24.1,22.998,1.102,1194,5720,0.01,sample
SUP_05,178,c,3,13.127,12.531,0.596,1192,5685,-8.319,sample
SUP_05,178,c,4,23.855,22.765,1.09,1189,5696,-0.253,sample
SUP_05,178,c,5,24.079,22.978,1.101,1192,5713,-0.063,sample
SUP_05,190,c,1,24.055,22.956,1.099,1193,5713,0,sample
SUP_05,190,c,2,24.102,23,1.101,1195,5721,0.055,sample
SUP_05,190,c,3,29.054,28.642,0.411,1194,5653,-8.115,sample
SUP_05,190,c,4,23.844,22.755,1.089,1189,5693,-0.225,sample
SUP_05,190,c,5,24.009,22.912,1.097,1193,5711,-0.012,sample
SUP_05,286,c,1,24.061,22.96,1.1,1194,5723,0,sample
SUP_05,286,c,2,24.127,23.024,1.103,1197,5736,0.006,sample
SUP_05,286,c,3,26.217,25.934,0.283,1190,5562,-7.936,sample
SUP_05,286,c,4,23.851,22.761,1.09,1190,5699,-0.26,sample
SUP_05,286,c,5,24.054,22.954,1.1,1194,5719,-0.118,sample
AGS_2,,,1,24.04,22.943,1.097,1193,5705,0,standard
AGS_2,,,2,24.137,23.035,1.102,1196,5719,0.092,standard
AGS_2,,,3,5.207,4.969,0.238,222,1062,1.158,standard
AGS_2,,,4,23.823,22.735,1.087,1189,5686,-0.091,standard
AGS_2,,,5,24.065,22.967,1.098,1193,5705,0.062,standard
