Identifier,Peak_Nr,Ampl_64,Ampl_66,d34S
linearity,1,444,2123,-0.47
linearity,2,1494,7153,0
linearity,3,2261,10821,0.19
linearity,4,2743,13135,0.372
linearity,5,3749,17955,0.561
linearity,6,5416,25941,0.807
linearity,1,444,2128,-0.293
linearity,2,1496,7164,0
linearity,3,2263,10838,0.153
linearity,4,2743,13138,0.243
linearity,5,3750,17964,0.425
linearity,6,5418,25956,0.659
